date,category,region,vendor_id,stock_level_pct,reorder_point_pct,stockout_risk,procurement_cost_index,demand_forecast_units,supply_gap_units,inventory_turnover_ratio,stock_shortage_incidents
2024-01-13,FMCG-Food,Hyderabad,Vendor_E,89.7,34.4,0.0,0.884,29951,0,8.26,0
2024-01-13,FMCG-Food,Delhi,Vendor_A,75.6,31.9,0.0,1.02,4850,540,6.47,0
2024-01-13,FMCG-Food,Ahmedabad,Vendor_H,89.8,26.3,0.0,0.966,14539,1028,6.68,0
2024-01-13,FMCG-Beverage,Chennai,Vendor_E,85.1,29.0,0.0,0.982,19806,648,5.54,0
2024-01-13,FMCG-Beverage,Ahmedabad,Vendor_F,62.0,33.6,0.0,0.94,35660,456,3.82,0
2024-01-13,FMCG-Beverage,Kolkata,Vendor_D,42.9,27.4,0.0,0.92,37395,0,7.68,0
2024-01-13,FMCG-Beverage,Hyderabad,Vendor_B,25.1,33.0,0.239,0.855,32014,0,4.31,0
2024-01-13,FMCG-Personal Care,Mumbai,Vendor_J,94.9,32.2,0.0,1.226,24809,1453,8.14,0
2024-01-13,FMCG-Personal Care,Bangalore,Vendor_K,61.9,39.1,0.0,1.168,17686,1071,5.5,0
2024-01-13,FMCG-Personal Care,Delhi,Vendor_M,55.3,29.0,0.0,1.101,41089,0,6.02,0
2024-01-13,FMCG-Personal Care,Kolkata,Vendor_E,61.0,26.7,0.0,1.195,25203,0,3.08,0
2024-01-13,FMCG-Home Care,Ahmedabad,Vendor_A,72.1,33.5,0.0,1.204,22625,0,3.13,0
2024-01-13,FMCG-Home Care,Delhi,Vendor_H,52.9,39.4,0.0,0.863,36052,0,3.23,0
2024-01-13,FMCG-Home Care,Kolkata,Vendor_M,65.6,34.9,0.0,0.898,35980,3153,3.85,0
2024-01-13,FMCG-Home Care,Pune,Vendor_F,39.4,38.2,0.0,1.132,33927,0,7.35,0
2024-01-13,FMCG-Health,Mumbai,Vendor_B,58.8,37.5,0.0,1.159,34114,0,5.12,0
2024-01-13,FMCG-Health,Hyderabad,Vendor_I,43.7,27.5,0.0,1.117,17154,0,6.97,0
2024-01-13,FMCG-Health,Bangalore,Vendor_C,69.7,37.9,0.0,0.925,39577,0,5.83,0
2024-01-13,FMCG-Health,Pune,Vendor_O,22.0,38.6,0.431,1.214,24839,1065,2.51,3
2024-01-16,FMCG-Food,Hyderabad,Vendor_C,59.0,28.9,0.0,0.943,28401,0,6.83,0
2024-01-16,FMCG-Food,Chennai,Vendor_M,70.8,35.9,0.0,0.946,34339,0,7.95,0
2024-01-16,FMCG-Food,Mumbai,Vendor_G,58.9,39.0,0.0,1.115,15205,2881,3.68,0
2024-01-16,FMCG-Food,Pune,Vendor_B,41.3,39.6,0.0,1.081,41083,2405,7.7,0
2024-01-16,FMCG-Beverage,Pune,Vendor_B,50.2,31.3,0.0,0.942,22258,0,7.02,0
2024-01-16,FMCG-Beverage,Chennai,Vendor_C,51.3,33.0,0.0,1.229,26013,2818,6.34,0
2024-01-16,FMCG-Beverage,Ahmedabad,Vendor_C,37.0,36.8,0.0,1.161,40515,0,2.74,0
2024-01-16,FMCG-Beverage,Hyderabad,Vendor_M,93.8,35.3,0.0,1.234,16799,0,6.63,0
2024-01-16,FMCG-Personal Care,Hyderabad,Vendor_J,29.9,31.1,0.038,0.884,10986,188,7.49,1
2024-01-16,FMCG-Personal Care,Kolkata,Vendor_C,64.3,30.4,0.0,1.073,5464,1678,8.45,0
2024-01-16,FMCG-Personal Care,Chennai,Vendor_H,58.8,38.0,0.0,1.087,24168,0,4.53,0
2024-01-16,FMCG-Personal Care,Ahmedabad,Vendor_J,45.9,30.5,0.0,0.913,34534,0,2.7,0
2024-01-16,FMCG-Home Care,Pune,Vendor_L,42.6,37.5,0.0,0.966,35790,0,4.32,0
2024-01-16,FMCG-Home Care,Delhi,Vendor_C,94.3,34.5,0.0,1.2,32530,702,2.71,0
2024-01-16,FMCG-Home Care,Chennai,Vendor_F,82.6,28.4,0.0,1.043,25872,1866,6.34,0
2024-01-16,FMCG-Home Care,Mumbai,Vendor_K,36.8,31.4,0.0,0.935,41998,1989,3.45,0
2024-01-16,FMCG-Health,Pune,Vendor_E,44.2,30.0,0.0,1.092,15675,0,5.57,0
2024-01-16,FMCG-Health,Delhi,Vendor_F,40.8,38.3,0.0,0.909,20903,0,4.15,0
2024-01-16,FMCG-Health,Kolkata,Vendor_E,26.3,30.7,0.144,1.248,8372,2490,5.76,3
2024-01-16,FMCG-Health,Hyderabad,Vendor_G,77.5,37.5,0.0,1.244,19570,571,3.17,0
2024-01-19,FMCG-Food,Chennai,Vendor_L,69.1,26.9,0.0,1.211,13462,0,6.18,0
2024-01-19,FMCG-Food,Bangalore,Vendor_O,53.3,26.9,0.0,1.096,38364,1762,4.77,0
2024-01-19,FMCG-Food,Hyderabad,Vendor_A,52.5,39.4,0.0,0.931,29841,0,7.48,0
2024-01-19,FMCG-Food,Pune,Vendor_L,26.1,26.2,0.007,1.107,37421,2644,5.48,0
2024-01-19,FMCG-Beverage,Mumbai,Vendor_D,57.8,27.2,0.0,1.123,24252,0,7.26,0
2024-01-19,FMCG-Beverage,Chennai,Vendor_N,92.1,37.9,0.0,0.969,20719,0,2.6,0
2024-01-19,FMCG-Beverage,Delhi,Vendor_O,31.9,34.1,0.064,1.211,11113,0,2.91,1
2024-01-19,FMCG-Beverage,Bangalore,Vendor_G,52.8,37.5,0.0,1.094,42090,0,7.98,0
2024-01-19,FMCG-Personal Care,Kolkata,Vendor_A,34.2,33.9,0.0,1.152,13162,3170,4.81,0
2024-01-19,FMCG-Personal Care,Hyderabad,Vendor_K,74.8,25.7,0.0,0.953,6111,2737,4.07,0
2024-01-19,FMCG-Personal Care,Chennai,Vendor_F,79.7,28.2,0.0,1.22,41583,0,2.65,0
2024-01-19,FMCG-Personal Care,Ahmedabad,Vendor_J,66.3,25.3,0.0,1.115,18248,636,3.44,0
2024-01-19,FMCG-Home Care,Delhi,Vendor_J,52.9,38.4,0.0,1.027,30782,31,5.38,0
2024-01-19,FMCG-Home Care,Pune,Vendor_G,94.4,33.9,0.0,0.881,40036,1311,3.93,0
2024-01-19,FMCG-Home Care,Kolkata,Vendor_N,26.2,36.6,0.283,0.898,6496,1702,5.34,1
2024-01-19,FMCG-Home Care,Hyderabad,Vendor_E,48.3,34.5,0.0,0.919,17505,2374,3.48,0
2024-01-19,FMCG-Health,Ahmedabad,Vendor_K,58.4,32.9,0.0,1.185,9263,0,6.1,0
2024-01-19,FMCG-Health,Mumbai,Vendor_N,40.1,29.7,0.0,1.114,16188,2904,3.43,0
2024-01-19,FMCG-Health,Delhi,Vendor_D,33.3,31.1,0.0,0.943,11972,3821,6.24,0
2024-01-19,FMCG-Health,Pune,Vendor_M,56.9,29.9,0.0,1.246,13610,0,5.64,0
2024-01-22,FMCG-Food,Mumbai,Vendor_D,71.4,39.9,0.0,1.247,25590,1374,8.33,0
2024-01-22,FMCG-Food,Delhi,Vendor_C,73.3,26.9,0.0,1.24,32453,1837,7.5,0
2024-01-22,FMCG-Food,Ahmedabad,Vendor_A,21.0,33.9,0.38,0.944,9104,729,7.34,0
2024-01-22,FMCG-Food,Bangalore,Vendor_K,60.9,36.9,0.0,0.851,16862,270,6.99,0
2024-01-22,FMCG-Beverage,Hyderabad,Vendor_H,31.7,39.8,0.202,0.935,11578,0,7.31,1
2024-01-22,FMCG-Beverage,Ahmedabad,Vendor_E,24.9,31.8,0.217,0.861,39227,0,7.38,2
2024-01-22,FMCG-Beverage,Chennai,Vendor_G,45.7,38.3,0.0,0.892,19675,48,5.47,0
2024-01-22,FMCG-Beverage,Mumbai,Vendor_C,36.2,39.5,0.083,1.219,37647,0,7.89,0
2024-01-22,FMCG-Personal Care,Hyderabad,Vendor_O,43.1,39.4,0.0,0.927,28521,0,3.34,0
2024-01-22,FMCG-Personal Care,Pune,Vendor_F,37.3,27.2,0.0,1.163,29491,0,3.42,0
2024-01-22,FMCG-Personal Care,Bangalore,Vendor_L,57.4,35.2,0.0,0.896,8012,0,4.56,0
2024-01-22,FMCG-Personal Care,Kolkata,Vendor_O,27.8,34.1,0.185,0.988,36646,0,7.76,0
2024-01-22,FMCG-Home Care,Delhi,Vendor_B,50.8,33.5,0.0,1.029,17604,1236,3.54,0
2024-01-22,FMCG-Home Care,Chennai,Vendor_L,30.2,32.0,0.056,0.937,8229,2786,2.8,1
2024-01-22,FMCG-Home Care,Mumbai,Vendor_D,44.0,36.1,0.0,1.22,32665,2139,4.22,0
2024-01-22,FMCG-Home Care,Bangalore,Vendor_A,21.7,27.4,0.209,1.088,16249,0,5.15,0
2024-01-22,FMCG-Health,Chennai,Vendor_J,27.4,26.4,0.0,0.927,31185,2771,7.74,0
2024-01-22,FMCG-Health,Ahmedabad,Vendor_G,90.9,31.3,0.0,0.973,19123,0,3.02,0
2024-01-22,FMCG-Health,Delhi,Vendor_G,89.1,28.0,0.0,1.24,27928,0,6.57,0
2024-01-22,FMCG-Health,Pune,Vendor_E,33.7,32.3,0.0,0.936,40499,3442,7.58,0
2024-01-25,FMCG-Food,Delhi,Vendor_G,87.6,25.4,0.0,0.912,16105,0,7.57,0
2024-01-25,FMCG-Food,Ahmedabad,Vendor_D,40.7,34.6,0.0,1.066,23135,1073,5.58,0
2024-01-25,FMCG-Food,Hyderabad,Vendor_K,54.9,38.9,0.0,0.871,14977,0,3.35,0
2024-01-25,FMCG-Food,Mumbai,Vendor_L,68.7,26.4,0.0,0.882,14584,35,3.75,0
2024-01-25,FMCG-Beverage,Mumbai,Vendor_L,94.4,25.3,0.0,1.219,35501,736,2.5,0
2024-01-25,FMCG-Beverage,Ahmedabad,Vendor_H,52.4,30.3,0.0,1.123,24349,0,7.32,0
2024-01-25,FMCG-Beverage,Kolkata,Vendor_M,28.2,27.9,0.0,1.001,6255,2637,6.23,0
2024-01-25,FMCG-Beverage,Hyderabad,Vendor_A,68.9,34.5,0.0,0.907,5112,0,8.3,0
2024-01-25,FMCG-Personal Care,Mumbai,Vendor_B,29.2,32.7,0.109,1.088,40334,0,5.32,0
2024-01-25,FMCG-Personal Care,Ahmedabad,Vendor_G,48.2,29.8,0.0,0.933,32486,0,6.04,0
2024-01-25,FMCG-Personal Care,Kolkata,Vendor_F,80.6,35.8,0.0,0.903,22703,1245,6.1,0
2024-01-25,FMCG-Personal Care,Bangalore,Vendor_M,57.2,37.1,0.0,0.858,29493,0,4.75,0
2024-01-25,FMCG-Home Care,Chennai,Vendor_F,55.5,29.1,0.0,0.861,38338,1749,7.87,0
2024-01-25,FMCG-Home Care,Ahmedabad,Vendor_D,37.6,33.8,0.0,0.956,9555,1190,6.78,0
2024-01-25,FMCG-Home Care,Delhi,Vendor_F,94.8,28.2,0.0,1.118,7791,2621,5.19,0
2024-01-25,FMCG-Home Care,Bangalore,Vendor_K,61.5,28.5,0.0,1.244,30663,0,2.76,0
2024-01-25,FMCG-Health,Hyderabad,Vendor_M,44.2,28.0,0.0,0.983,29098,1906,7.84,0
2024-01-25,FMCG-Health,Pune,Vendor_A,53.4,26.2,0.0,0.962,27922,0,8.37,0
2024-01-25,FMCG-Health,Kolkata,Vendor_O,62.7,37.5,0.0,1.076,9534,0,4.6,0
2024-01-25,FMCG-Health,Mumbai,Vendor_F,71.3,39.5,0.0,1.226,9097,0,2.8,0
2024-01-28,FMCG-Food,Pune,Vendor_F,77.8,26.9,0.0,1.074,40874,708,2.56,0
2024-01-28,FMCG-Food,Chennai,Vendor_N,85.6,34.6,0.0,0.957,21990,2650,4.89,0
2024-01-28,FMCG-Food,Kolkata,Vendor_O,84.9,37.8,0.0,1.063,34868,2340,5.22,0
2024-01-28,FMCG-Food,Mumbai,Vendor_J,63.5,32.6,0.0,1.187,17907,719,7.78,0
2024-01-28,FMCG-Beverage,Kolkata,Vendor_I,23.4,31.9,0.267,0.907,28089,0,2.85,4
2024-01-28,FMCG-Beverage,Ahmedabad,Vendor_D,72.2,29.3,0.0,0.978,5777,0,3.52,0
2024-01-28,FMCG-Beverage,Hyderabad,Vendor_E,60.4,33.7,0.0,0.887,20264,0,3.91,0
2024-01-28,FMCG-Beverage,Delhi,Vendor_O,53.8,28.1,0.0,1.026,11861,598,7.29,0
2024-01-28,FMCG-Personal Care,Chennai,Vendor_N,88.9,37.7,0.0,1.103,38271,2004,7.18,0
2024-01-28,FMCG-Personal Care,Mumbai,Vendor_B,64.7,27.6,0.0,0.912,24291,1186,4.13,0
2024-01-28,FMCG-Personal Care,Ahmedabad,Vendor_F,61.9,36.1,0.0,1.204,24254,118,3.98,0
2024-01-28,FMCG-Personal Care,Pune,Vendor_N,49.6,31.9,0.0,1.17,9435,1130,3.98,0
2024-01-28,FMCG-Home Care,Ahmedabad,Vendor_L,45.6,32.6,0.0,0.903,24153,0,5.06,0
2024-01-28,FMCG-Home Care,Bangalore,Vendor_A,41.4,35.3,0.0,0.974,11584,2088,8.47,0
2024-01-28,FMCG-Home Care,Delhi,Vendor_B,52.6,27.3,0.0,0.961,39458,2694,7.29,0
2024-01-28,FMCG-Home Care,Chennai,Vendor_I,41.6,31.5,0.0,1.18,23977,0,3.85,0
2024-01-28,FMCG-Health,Bangalore,Vendor_H,60.9,30.7,0.0,1.178,11123,2231,7.51,0
2024-01-28,FMCG-Health,Mumbai,Vendor_B,36.9,39.0,0.054,0.962,13798,4474,4.66,0
2024-01-28,FMCG-Health,Pune,Vendor_J,45.0,30.2,0.0,1.075,9117,1051,6.61,0
2024-01-28,FMCG-Health,Chennai,Vendor_M,51.8,38.3,0.0,0.921,38325,0,8.19,0
2024-01-31,FMCG-Food,Bangalore,Vendor_A,90.1,27.6,0.0,1.044,42133,2086,5.43,0
2024-01-31,FMCG-Food,Pune,Vendor_I,59.5,36.5,0.0,0.952,37286,1649,6.4,0
2024-01-31,FMCG-Food,Ahmedabad,Vendor_L,64.9,38.6,0.0,1.085,39621,0,3.72,0
2024-01-31,FMCG-Food,Mumbai,Vendor_I,60.3,27.2,0.0,1.136,34623,0,3.5,0
2024-01-31,FMCG-Beverage,Pune,Vendor_G,37.1,37.0,0.0,1.243,40468,0,6.55,0
2024-01-31,FMCG-Beverage,Delhi,Vendor_I,82.5,37.1,0.0,0.883,23283,405,6.71,0
2024-01-31,FMCG-Beverage,Chennai,Vendor_E,86.2,27.3,0.0,1.234,14213,0,4.91,0
2024-01-31,FMCG-Beverage,Ahmedabad,Vendor_L,93.5,30.7,0.0,0.973,32782,1857,5.44,0
2024-01-31,FMCG-Personal Care,Chennai,Vendor_E,39.4,34.0,0.0,1.236,11597,1403,2.96,0
2024-01-31,FMCG-Personal Care,Delhi,Vendor_N,81.4,33.3,0.0,1.017,33946,374,4.9,0
2024-01-31,FMCG-Personal Care,Ahmedabad,Vendor_D,42.8,31.3,0.0,1.161,4739,381,5.45,0
2024-01-31,FMCG-Personal Care,Pune,Vendor_J,67.0,29.2,0.0,1.185,31816,2844,3.65,0
2024-01-31,FMCG-Home Care,Chennai,Vendor_J,75.3,39.1,0.0,0.865,12218,0,2.52,0
2024-01-31,FMCG-Home Care,Delhi,Vendor_B,20.3,39.3,0.482,1.118,41845,0,8.01,1
2024-01-31,FMCG-Home Care,Ahmedabad,Vendor_O,27.4,33.0,0.172,1.248,17010,124,3.07,0
2024-01-31,FMCG-Home Care,Bangalore,Vendor_L,62.9,31.9,0.0,0.889,23692,0,4.19,0
2024-01-31,FMCG-Health,Bangalore,Vendor_L,54.4,26.9,0.0,0.917,12138,2356,4.7,0
2024-01-31,FMCG-Health,Mumbai,Vendor_E,48.3,37.7,0.0,0.901,34182,0,3.33,0
2024-01-31,FMCG-Health,Kolkata,Vendor_M,28.6,32.8,0.13,0.892,23487,0,4.28,0
2024-01-31,FMCG-Health,Pune,Vendor_J,91.8,37.1,0.0,1.244,40988,2588,4.19,0
2024-02-03,FMCG-Food,Hyderabad,Vendor_J,29.4,30.7,0.041,1.042,28966,874,6.72,0
2024-02-03,FMCG-Food,Pune,Vendor_M,84.1,25.0,0.0,1.177,20073,713,4.29,0
2024-02-03,FMCG-Food,Kolkata,Vendor_M,28.7,34.5,0.169,1.06,7772,0,4.68,0
2024-02-03,FMCG-Food,Delhi,Vendor_E,24.6,36.5,0.325,0.884,28776,0,2.91,0
2024-02-03,FMCG-Beverage,Kolkata,Vendor_A,30.7,32.6,0.06,0.937,38679,0,2.8,1
2024-02-03,FMCG-Beverage,Chennai,Vendor_F,60.8,30.5,0.0,1.255,11588,0,5.12,0
2024-02-03,FMCG-Beverage,Ahmedabad,Vendor_J,74.9,33.0,0.0,1.118,17645,0,4.98,0
2024-02-03,FMCG-Beverage,Pune,Vendor_A,72.2,26.7,0.0,1.21,7148,1095,4.03,0
2024-02-03,FMCG-Personal Care,Ahmedabad,Vendor_D,66.0,31.6,0.0,1.145,18261,1264,2.52,0
2024-02-03,FMCG-Personal Care,Bangalore,Vendor_D,73.4,29.3,0.0,1.132,32306,0,3.29,0
2024-02-03,FMCG-Personal Care,Chennai,Vendor_J,31.1,32.8,0.052,0.877,23607,1748,5.43,1
2024-02-03,FMCG-Personal Care,Kolkata,Vendor_E,38.9,28.1,0.0,1.085,16951,0,6.89,0
2024-02-03,FMCG-Home Care,Mumbai,Vendor_O,44.9,30.5,0.0,1.248,13502,0,7.26,0
2024-02-03,FMCG-Home Care,Kolkata,Vendor_E,26.3,25.6,0.0,1.202,16362,0,7.69,0
2024-02-03,FMCG-Home Care,Chennai,Vendor_H,42.8,39.6,0.0,1.233,14632,0,3.21,0
2024-02-03,FMCG-Home Care,Delhi,Vendor_K,32.6,36.2,0.1,0.996,34359,0,7.47,0
2024-02-03,FMCG-Health,Chennai,Vendor_J,63.1,27.7,0.0,0.91,19969,0,6.03,0
2024-02-03,FMCG-Health,Hyderabad,Vendor_C,85.9,37.7,0.0,0.868,17251,0,5.92,0
2024-02-03,FMCG-Health,Bangalore,Vendor_M,65.9,30.3,0.0,0.919,9689,1647,4.46,0
2024-02-03,FMCG-Health,Kolkata,Vendor_M,94.2,34.8,0.0,1.041,11460,3397,4.33,0
2024-02-06,FMCG-Food,Bangalore,Vendor_C,91.3,36.0,0.0,1.161,26930,208,6.9,0
2024-02-06,FMCG-Food,Ahmedabad,Vendor_O,32.2,32.0,0.0,1.054,26744,0,3.99,0
2024-02-06,FMCG-Food,Hyderabad,Vendor_N,88.2,27.4,0.0,0.886,27586,1979,7.07,0
2024-02-06,FMCG-Food,Kolkata,Vendor_N,75.0,30.5,0.0,1.077,18449,4142,5.0,0
