date,fuel_price_inr,weather_disruption_index,news_sentiment_score,usd_inr,cpi_proxy,trends_score,logistics_cost_index
2024-02-05,94.75,0.018,0.34,82.5,5.96,51,1.003
2024-02-06,95.58,0.029,-0.04,83.05,5.96,43,1.014
2024-02-07,95.63,0.011,-0.075,82.86,5.25,48,1.01
2024-02-08,95.31,0.114,0.239,82.66,5.54,36,1.037
2024-02-09,96.21,0.03,0.181,83.15,5.88,58,1.021
2024-02-10,95.78,0.095,0.061,81.73,5.31,46,1.036
2024-02-11,95.47,0.081,0.347,83.32,5.53,55,1.029
2024-02-12,94.53,0.114,0.205,84.58,5.49,49,1.03
2024-02-13,94.81,0.078,0.272,84.67,5.66,54,1.022
2024-02-14,95.87,0.019,-0.348,82.47,5.97,38,1.014
2024-02-15,95.36,0.177,-0.319,83.83,5.82,45,1.057
2024-02-16,95.91,0.152,-0.217,82.62,5.37,48,1.055
2024-02-17,95.31,0.1,0.243,83.63,5.38,47,1.033
2024-02-18,96.13,0.059,-0.12,83.11,5.57,61,1.029
2024-02-19,95.43,0.165,0.195,83.8,5.63,58,1.054
2024-02-20,95.14,0.084,0.249,82.98,5.82,51,1.027
2024-02-21,95.82,0.148,0.126,83.89,5.32,53,1.053
2024-02-22,96.07,0.134,0.02,83.77,5.4,49,1.051
2024-02-23,94.83,0.127,0.067,83.79,5.58,37,1.036
2024-02-24,94.96,0.098,-0.045,82.68,5.66,60,1.029
2024-02-25,96.28,0.07,0.031,82.64,5.38,47,1.034
2024-02-26,95.71,0.052,0.493,83.35,5.68,44,1.023
2024-02-27,95.23,0.184,0.263,83.57,6.2,54,1.058
2024-02-28,95.75,0.098,0.103,82.94,5.72,38,1.037
2024-02-29,95.58,0.126,0.609,83.34,5.65,63,1.044
2024-03-01,95.25,0.044,0.321,81.71,5.76,54,1.016
2024-03-02,95.05,0.073,0.348,82.47,5.51,37,1.023
2024-03-03,95.53,0.058,0.324,83.48,5.51,46,1.023
2024-03-04,95.57,0.136,0.333,84.33,5.61,42,1.046
2024-03-05,95.06,0.113,0.091,82.77,5.69,59,1.035
2024-03-06,94.98,0.101,0.276,82.44,5.86,45,1.03
2024-03-07,95.3,0.071,0.182,83.57,5.71,50,1.024
2024-03-08,94.64,0.128,0.55,83.06,5.64,50,1.035
2024-03-09,95.28,0.077,0.028,83.12,5.76,48,1.026
2024-03-10,94.95,0.047,0.193,83.09,5.71,35,1.014
2024-03-11,95.63,0.162,0.499,83.95,6.02,43,1.055
2024-03-12,94.87,0.176,0.65,83.15,6.0,35,1.051
2024-03-13,95.21,0.058,0.354,83.4,6.03,51,1.02
2024-03-14,95.1,0.035,0.575,83.47,5.81,68,1.012
2024-03-15,95.78,0.117,0.082,83.48,5.42,45,1.043
2024-03-16,95.88,0.101,0.279,82.83,5.58,54,1.039
2024-03-17,95.84,0.141,0.478,83.15,6.08,61,1.051
2024-03-18,95.43,0.069,0.527,83.37,5.98,59,1.025
2024-03-19,95.98,0.131,0.464,82.51,6.07,58,1.049
2024-03-20,95.93,0.125,0.317,84.09,5.79,41,1.047
2024-03-21,95.14,0.101,-0.121,83.5,5.94,58,1.032
2024-03-22,96.03,0.059,1.0,83.32,5.81,70,1.028
2024-03-23,95.52,0.067,0.305,82.5,5.46,65,1.025
2024-03-24,95.24,0.154,0.319,83.24,5.68,43,1.049
2024-03-25,95.54,0.105,0.171,84.28,5.56,51,1.037
2024-03-26,96.27,0.112,0.403,83.55,5.56,55,1.046
2024-03-27,96.06,0.176,0.272,83.06,5.97,48,1.063
2024-03-28,94.61,0.032,0.232,82.22,5.61,52,1.006
2024-03-29,95.63,0.099,0.498,81.05,5.87,56,1.036
2024-03-30,95.96,0.02,-0.279,83.54,6.11,48,1.016
2024-03-31,96.37,0.08,0.116,83.83,6.0,55,1.038
2024-04-01,95.77,0.169,0.2,81.6,5.76,65,1.058
2024-04-02,95.62,0.059,0.141,83.99,5.89,70,1.024
2024-04-03,96.69,0.036,-0.475,83.46,5.66,66,1.028
2024-04-04,96.12,0.183,0.372,83.46,5.96,69,1.066
2024-04-05,95.75,0.004,0.244,81.17,5.92,73,1.009
2024-04-06,96.07,0.154,0.141,83.43,6.04,60,1.057
2024-04-07,96.43,0.045,0.635,83.42,5.77,60,1.028
2024-04-08,95.92,0.109,-0.571,82.8,6.23,59,1.042
2024-04-09,95.98,0.004,0.51,83.63,5.23,48,1.011
2024-04-10,95.58,0.067,-0.187,83.65,5.77,69,1.026
2024-04-11,95.83,0.174,-0.111,84.02,5.71,71,1.06
2024-04-12,95.7,0.055,-0.235,83.02,5.73,51,1.024
2024-04-13,96.38,0.15,0.108,81.86,6.14,69,1.059
2024-04-14,96.87,0.126,-0.022,83.39,5.61,74,1.057
2024-04-15,94.71,0.004,0.383,83.98,5.86,59,0.998
2024-04-16,95.15,0.076,0.253,82.55,5.73,62,1.024
2024-04-17,95.4,0.178,0.292,82.83,5.85,59,1.058
2024-04-18,96.4,0.045,0.477,82.03,5.85,63,1.028
2024-04-19,94.58,0.189,0.152,82.59,5.67,65,1.053
2024-04-20,96.24,0.011,0.597,83.65,5.68,51,1.016
2024-04-21,96.15,0.133,-0.053,83.38,5.74,60,1.051
2024-04-22,95.94,0.111,-0.06,84.79,5.78,68,1.043
2024-04-23,96.0,0.121,0.151,82.54,5.38,60,1.046
2024-04-24,96.44,0.154,0.211,82.32,5.78,53,1.061
2024-04-25,96.12,0.008,0.332,82.89,5.62,50,1.014
2024-04-26,96.47,0.142,0.403,82.32,5.89,42,1.057
2024-04-27,95.6,0.185,0.332,83.0,6.14,59,1.061
2024-04-28,95.97,0.1,-0.275,82.34,5.76,66,1.04
2024-04-29,96.0,0.137,-0.094,83.27,5.78,71,1.051
2024-04-30,95.56,0.094,0.194,84.15,5.97,69,1.034
2024-05-01,96.18,0.097,0.236,84.28,5.73,60,1.041
2024-05-02,95.86,0.172,-0.201,83.02,6.03,68,1.06
2024-05-03,96.07,0.018,0.433,83.94,6.18,67,1.016
2024-05-04,95.93,0.017,-0.131,83.06,6.09,64,1.014
2024-05-05,95.78,0.025,0.016,82.1,5.49,58,1.015
2024-05-06,96.4,0.14,0.265,83.39,5.88,67,1.056
2024-05-07,96.22,0.169,0.032,82.1,5.66,55,1.063
2024-05-08,95.46,0.103,-0.405,84.7,6.19,61,1.036
2024-05-09,96.53,0.084,0.41,82.55,6.07,72,1.041
2024-05-10,97.24,0.105,-0.473,83.67,6.3,74,1.054
2024-05-11,96.55,0.124,-0.332,83.09,5.96,62,1.053
2024-05-12,96.98,0.026,-0.014,83.14,5.8,64,1.028
2024-05-13,95.73,0.119,0.086,82.74,5.79,50,1.043
2024-05-14,96.52,0.146,0.457,83.53,6.1,67,1.059
2024-05-15,96.36,0.115,0.397,82.28,6.02,64,1.048
2024-05-16,97.37,0.077,-0.114,82.73,5.89,71,1.047
2024-05-17,95.79,0.175,0.369,83.33,6.17,63,1.06
2024-05-18,94.59,0.145,0.232,83.19,5.89,62,1.039
2024-05-19,95.83,0.052,0.609,84.05,5.87,50,1.024
2024-05-20,96.4,0.134,0.434,84.93,5.78,64,1.054
2024-05-21,95.51,0.086,0.656,82.67,5.76,65,1.031
2024-05-22,96.88,0.022,0.817,83.08,5.88,57,1.025
2024-05-23,96.34,0.156,0.365,82.85,5.73,81,1.06
2024-05-24,95.8,0.107,-0.259,83.43,6.19,65,1.04
2024-05-25,95.45,0.083,0.113,82.84,6.01,69,1.029
2024-05-26,96.21,0.076,0.138,82.95,6.03,71,1.035
2024-05-27,96.54,0.133,0.012,82.7,5.92,59,1.055
2024-05-28,96.89,0.061,-0.093,83.65,5.87,66,1.037
2024-05-29,95.48,0.126,0.521,83.11,5.86,68,1.043
2024-05-30,95.8,0.022,-0.194,83.55,5.93,71,1.015
2024-05-31,96.57,0.029,0.005,82.99,6.23,68,1.024
2024-06-01,96.34,0.2,0.039,82.93,5.81,73,1.073
2024-06-02,96.47,0.164,0.12,84.29,5.62,56,1.064
2024-06-03,95.92,0.122,0.262,83.54,6.07,54,1.046
2024-06-04,95.94,0.076,0.168,81.57,5.9,58,1.032
2024-06-05,95.75,0.026,-0.127,83.28,6.4,66,1.015
2024-06-06,96.55,0.035,0.643,83.61,5.83,58,1.026
2024-06-07,96.73,0.128,0.527,81.13,6.44,56,1.056
2024-06-08,97.45,0.066,0.619,83.03,6.11,46,1.044
2024-06-09,96.32,0.002,0.379,81.28,5.92,69,1.014
2024-06-10,96.65,0.076,-0.359,83.52,5.95,45,1.039
2024-06-11,96.38,0.134,0.286,83.9,6.08,76,1.054
2024-06-12,96.67,0.114,0.39,82.52,6.08,48,1.051
2024-06-13,96.13,0.071,-0.169,84.31,6.12,65,1.033
2024-06-14,96.63,0.179,0.157,82.6,6.12,65,1.07
2024-06-15,96.11,0.042,-0.094,85.04,6.09,57,1.024
2024-06-16,96.03,0.011,0.375,83.4,6.09,60,1.014
2024-06-17,95.79,0.008,0.246,82.42,5.67,49,1.01
2024-06-18,96.79,0.136,0.212,84.99,5.91,65,1.059
2024-06-19,96.72,0.061,0.202,82.76,5.99,48,1.036
2024-06-20,96.01,0.094,-0.243,83.59,6.15,45,1.038
2024-06-21,96.38,0.105,-0.049,82.42,6.13,65,1.045
2024-06-22,95.61,0.056,0.063,83.34,6.5,59,1.023
2024-06-23,96.06,0.162,0.325,83.83,5.95,70,1.059
2024-06-24,96.06,0.097,-0.734,82.87,5.96,62,1.04
2024-06-25,96.17,0.109,0.236,83.87,5.81,52,1.044
2024-06-26,96.77,0.168,0.132,83.97,6.18,46,1.068
2024-06-27,96.48,0.057,-0.429,83.95,5.92,67,1.032
2024-06-28,96.56,0.14,-0.002,84.69,5.86,59,1.057
2024-06-29,96.78,0.034,0.346,83.65,6.17,62,1.028
2024-06-30,96.25,0.11,-0.03,83.87,6.07,41,1.045
2024-07-01,96.31,0.638,-0.274,83.59,6.11,62,1.205
2024-07-02,96.36,0.719,0.42,83.62,6.05,57,1.229
2024-07-03,97.13,0.721,0.351,82.65,6.11,71,1.238
2024-07-04,96.73,0.628,-0.147,84.13,6.12,50,1.206
2024-07-05,96.09,0.797,0.322,82.73,5.95,42,1.25
2024-07-06,96.43,0.725,-0.484,83.31,5.98,53,1.232
2024-07-07,96.48,0.671,0.055,83.61,5.73,59,1.216
2024-07-08,96.35,0.694,-0.079,84.09,5.77,48,1.222
2024-07-09,96.51,0.744,0.099,82.99,5.85,60,1.238
2024-07-10,95.74,0.643,0.257,82.96,6.28,49,1.2
2024-07-11,96.84,0.671,0.097,82.62,5.92,53,1.22
2024-07-12,96.53,0.738,0.477,81.21,5.84,53,1.237
2024-07-13,96.51,0.649,0.386,82.28,5.87,64,1.21
2024-07-14,96.36,0.704,0.513,83.06,5.97,51,1.225
2024-07-15,96.63,0.629,0.602,83.08,6.19,48,1.205
2024-07-16,97.32,0.712,0.191,82.24,6.21,60,1.237
2024-07-17,96.83,0.774,0.125,83.14,6.1,55,1.251
2024-07-18,96.14,0.623,0.053,85.22,5.95,56,1.198
2024-07-19,96.88,0.769,-0.414,82.73,6.43,60,1.249
2024-07-20,95.8,0.674,0.241,83.16,6.1,54,1.21
2024-07-21,97.14,0.75,0.165,82.4,5.88,41,1.246
2024-07-22,97.33,0.679,-0.393,83.26,6.52,56,1.227
2024-07-23,95.86,0.612,-0.163,83.16,5.96,60,1.192
2024-07-24,96.9,0.718,0.174,83.11,6.21,52,1.234
2024-07-25,96.75,0.645,0.144,84.23,6.23,58,1.211
2024-07-26,96.1,0.738,0.257,83.99,6.17,48,1.233
2024-07-27,97.23,0.765,0.082,83.55,6.02,49,1.252
2024-07-28,96.39,0.698,0.062,83.6,6.47,53,1.223
2024-07-29,96.92,0.603,0.331,83.38,6.1,52,1.2
2024-07-30,96.19,0.753,0.412,84.5,6.06,47,1.238
2024-07-31,96.75,0.677,0.413,82.98,6.39,58,1.221
2024-08-01,97.44,0.613,-0.193,83.58,6.45,58,1.208
2024-08-02,96.61,0.699,0.128,83.45,6.44,51,1.226
2024-08-03,96.48,0.767,0.073,83.35,6.27,29,1.245
2024-08-04,96.79,0.799,0.247,84.52,6.14,47,1.258
2024-08-05,96.93,0.791,0.623,83.94,6.35,59,1.257
2024-08-06,96.55,0.62,0.107,83.47,5.77,45,1.202
2024-08-07,97.33,0.706,0.023,81.91,6.05,51,1.235
2024-08-08,97.54,0.663,0.339,83.06,6.14,41,1.224
2024-08-09,96.27,0.713,0.003,83.57,6.25,38,1.227
2024-08-10,97.21,0.721,0.015,84.15,6.14,38,1.238
2024-08-11,96.51,0.619,-0.582,84.25,6.07,54,1.201
2024-08-12,96.75,0.742,-0.299,82.87,5.94,59,1.24
2024-08-13,97.37,0.634,0.208,82.58,6.23,48,1.214
2024-08-14,96.83,0.712,-0.078,83.47,6.31,65,1.232
2024-08-15,97.09,0.744,0.783,84.11,6.19,51,1.244
2024-08-16,96.88,0.782,0.05,83.7,6.27,39,1.253
2024-08-17,97.18,0.753,-0.345,83.62,6.22,47,1.248
2024-08-18,96.3,0.743,-0.196,84.35,5.98,41,1.236
2024-08-19,96.95,0.789,0.086,83.09,6.22,48,1.256
2024-08-20,96.19,0.792,0.114,83.41,6.2,39,1.249
2024-08-21,97.24,0.755,0.415,83.0,6.39,59,1.249
2024-08-22,96.63,0.608,0.349,83.49,6.24,52,1.199
2024-08-23,97.01,0.66,0.294,84.75,6.19,46,1.218
2024-08-24,97.42,0.665,0.365,84.37,5.68,54,1.224
2024-08-25,96.79,0.615,0.122,82.36,6.28,56,1.202
2024-08-26,97.26,0.742,-0.162,82.8,6.24,63,1.245
2024-08-27,96.62,0.779,-0.021,83.71,6.6,51,1.25
2024-08-28,96.26,0.697,0.044,83.63,6.64,45,1.222
2024-08-29,98.09,0.77,0.322,83.91,6.29,64,1.262
2024-08-30,96.48,0.661,-0.181,82.16,6.21,55,1.213
2024-08-31,96.96,0.729,0.282,84.67,5.97,53,1.238
2024-09-01,97.21,0.07,0.179,84.01,6.15,69,1.043
2024-09-02,96.17,0.086,0.603,82.95,6.2,54,1.037
2024-09-03,97.14,0.052,-0.135,83.75,6.23,67,1.037
2024-09-04,97.02,0.066,-0.025,82.75,6.76,69,1.04
2024-09-05,96.91,0.038,-0.701,83.49,6.17,61,1.031
2024-09-06,96.04,0.195,0.885,83.0,6.34,72,1.069
2024-09-07,97.02,0.105,-0.286,82.3,6.23,59,1.052
2024-09-08,97.36,0.054,0.543,82.34,6.45,66,1.04
2024-09-09,96.58,0.162,0.478,83.95,6.13,58,1.064
2024-09-10,96.29,0.155,0.288,84.61,6.03,70,1.06
2024-09-11,97.14,0.166,0.045,83.2,6.21,67,1.071
2024-09-12,96.37,0.111,0.119,84.11,6.16,55,1.047
2024-09-13,96.47,0.019,0.29,83.61,6.58,56,1.02
2024-09-14,96.77,0.031,0.471,83.04,6.47,69,1.027
2024-09-15,96.4,0.2,0.509,83.4,6.16,57,1.074
2024-09-16,97.25,0.019,0.538,83.89,5.74,68,1.028
2024-09-17,97.44,0.018,-0.274,83.48,6.43,69,1.03
2024-09-18,96.91,0.102,0.156,83.92,6.44,57,1.05
2024-09-19,97.3,0.057,0.418,81.38,6.15,48,1.04
2024-09-20,97.63,0.022,0.509,83.56,6.35,64,1.033
2024-09-21,97.1,0.028,0.513,83.69,6.59,54,1.029
2024-09-22,96.98,0.048,0.239,82.67,5.93,57,1.034
2024-09-23,96.93,0.175,-0.392,83.91,6.55,54,1.072
2024-09-24,97.97,0.064,0.361,82.99,6.14,59,1.049
2024-09-25,96.72,0.081,-0.066,85.05,6.35,53,1.042
2024-09-26,96.93,0.026,0.228,82.83,6.11,56,1.027
2024-09-27,96.63,0.064,-0.178,82.66,6.15,67,1.035
2024-09-28,97.69,0.016,0.182,83.7,6.77,54,1.032
2024-09-29,97.03,0.135,-0.223,82.53,6.35,60,1.061
2024-09-30,97.78,0.191,-0.142,83.6,6.13,52,1.085
2024-10-01,96.58,0.137,-0.037,84.61,6.39,75,1.057
2024-10-02,97.37,0.189,0.297,83.85,6.45,100,1.08
2024-10-03,98.79,0.002,0.566,83.81,6.31,80,1.038
2024-10-04,97.33,0.02,-0.122,83.97,6.79,67,1.029
2024-10-05,97.89,0.029,0.328,82.68,6.88,63,1.038
2024-10-06,97.69,0.2,-0.046,84.46,6.14,79,1.087
2024-10-07,96.88,0.086,-0.32,84.01,6.28,77,1.045
2024-10-08,97.51,0.172,-0.419,82.44,6.42,77,1.077
2024-10-09,97.78,0.046,0.663,84.09,6.58,82,1.042
2024-10-10,97.07,0.15,0.127,84.67,6.46,80,1.066
2024-10-11,97.38,0.095,-0.066,83.6,6.3,78,1.052
2024-10-12,97.23,0.132,-0.403,81.98,6.2,79,1.062
2024-10-13,97.31,0.192,0.462,82.65,6.54,85,1.081
2024-10-14,97.35,0.153,-0.199,83.12,6.14,77,1.069
2024-10-15,97.21,0.172,0.254,83.06,6.65,66,1.074
2024-10-16,95.67,0.176,-0.133,82.55,6.5,78,1.06
2024-10-17,96.97,0.099,0.214,83.19,6.78,75,1.049
2024-10-18,96.29,0.06,-0.316,82.63,6.42,78,1.031
2024-10-19,98.21,0.17,-0.391,84.32,6.65,64,1.083
2024-10-20,96.94,0.2,0.251,83.78,6.2,94,1.079
2024-10-21,97.77,0.107,0.106,83.89,6.27,70,1.06
2024-10-22,97.43,0.096,-0.075,84.2,5.88,89,1.053
2024-10-23,97.57,0.194,0.2,84.92,6.67,77,1.084
2024-10-24,96.95,0.064,0.63,82.61,6.75,83,1.039
2024-10-25,97.2,0.063,0.363,83.87,6.37,93,1.041
2024-10-26,97.41,0.2,0.074,84.0,6.63,62,1.084
2024-10-27,97.31,0.138,-0.246,82.26,6.38,63,1.065
2024-10-28,96.82,0.14,0.421,82.41,6.68,81,1.06
2024-10-29,97.21,0.002,-0.089,84.92,6.42,89,1.023
2024-10-30,97.74,0.059,0.066,84.27,6.94,84,1.045
2024-10-31,96.9,0.1,-0.314,83.91,6.55,77,1.049
2024-11-01,97.99,0.143,-0.09,83.31,6.65,76,1.073
2024-11-02,98.01,0.044,-0.219,83.16,6.35,73,1.043
2024-11-03,97.46,0.007,-0.254,84.05,6.4,73,1.027
2024-11-04,97.28,0.061,-0.096,84.43,6.68,76,1.041
2024-11-05,97.39,0.013,-0.411,83.23,6.32,91,1.028
2024-11-06,97.41,0.071,-0.351,82.9,6.25,67,1.045
2024-11-07,97.92,0.083,0.183,84.43,6.79,73,1.054
2024-11-08,97.3,0.044,0.543,83.76,6.62,76,1.036
2024-11-09,97.14,0.107,-0.01,83.53,6.56,57,1.053
2024-11-10,97.97,0.091,-0.014,82.51,6.78,80,1.057
2024-11-11,97.63,0.132,-0.227,84.35,6.01,78,1.066
2024-11-12,98.44,0.067,0.194,83.45,6.02,95,1.054
2024-11-13,97.12,0.17,-0.302,82.15,6.43,70,1.072
2024-11-14,98.51,0.09,0.013,83.26,6.56,75,1.062
2024-11-15,98.04,0.14,0.296,83.22,6.24,75,1.072
2024-11-16,97.78,0.034,-0.007,84.28,6.64,84,1.038
2024-11-17,97.75,0.038,-0.069,84.44,6.95,96,1.039
2024-11-18,97.97,0.17,0.223,82.29,6.21,71,1.081
2024-11-19,97.61,0.195,0.016,83.02,6.63,73,1.084
2024-11-20,98.12,0.151,-0.025,84.36,6.57,70,1.076
2024-11-21,98.13,0.09,0.127,82.74,6.39,68,1.058
2024-11-22,97.08,0.199,0.503,83.35,6.57,82,1.081
2024-11-23,97.97,0.139,0.602,85.09,6.82,80,1.071
2024-11-24,97.38,0.102,-0.037,83.54,6.57,80,1.054
2024-11-25,97.8,0.077,-0.297,84.36,6.42,80,1.051
2024-11-26,97.8,0.128,-0.137,83.74,6.17,74,1.066
2024-11-27,97.99,0.083,-0.031,83.2,6.51,76,1.055
2024-11-28,97.44,0.1,-0.074,84.3,6.44,72,1.054
2024-11-29,98.7,0.161,0.115,83.49,6.52,74,1.085
2024-11-30,97.64,0.124,0.211,83.54,6.71,71,1.064
2024-12-01,98.04,0.182,0.284,84.43,6.43,74,1.085
2024-12-02,98.56,0.191,-0.079,83.19,6.47,78,1.093
2024-12-03,98.01,0.152,0.402,83.63,6.43,71,1.076
2024-12-04,98.28,0.138,-0.048,83.94,6.61,66,1.074
2024-12-05,97.63,0.184,-0.034,84.35,6.55,80,1.081
2024-12-06,97.01,0.057,-0.036,83.3,6.6,75,1.037
2024-12-07,97.67,0.118,-0.167,84.5,6.77,75,1.062
2024-12-08,97.58,0.185,-0.684,83.45,6.7,67,1.081
2024-12-09,97.99,0.113,-0.263,82.19,6.32,69,1.064
2024-12-10,98.03,0.2,-0.09,83.1,6.34,75,1.09
2024-12-11,97.6,0.103,0.443,83.92,6.53,71,1.057
2024-12-12,97.57,0.194,-0.287,82.36,6.69,73,1.084
2024-12-13,97.89,0.057,0.069,83.22,6.71,54,1.046
2024-12-14,97.29,0.086,-0.336,84.24,6.52,59,1.049
2024-12-15,97.84,0.165,0.003,83.51,6.9,68,1.078
2024-12-16,97.83,0.182,-0.459,84.17,6.75,61,1.083
2024-12-17,97.17,0.082,0.203,82.75,6.76,58,1.046
2024-12-18,97.85,0.014,0.54,83.14,6.69,65,1.033
2024-12-19,97.87,0.194,0.723,83.84,6.76,58,1.087
2024-12-20,98.05,0.184,0.185,84.08,6.64,66,1.086
2024-12-21,97.46,0.152,-0.079,83.34,6.45,72,1.07
2024-12-22,98.86,0.108,-0.137,83.33,6.54,84,1.071
2024-12-23,98.22,0.042,-0.304,82.61,6.56,65,1.045
2024-12-24,98.42,0.088,0.327,84.68,6.44,70,1.061
2024-12-25,97.63,0.05,0.035,83.32,6.2,86,1.041
2024-12-26,97.98,0.18,0.596,83.53,6.51,65,1.084
2024-12-27,98.07,0.182,-0.112,83.46,6.73,65,1.085
2024-12-28,97.44,0.057,0.126,83.57,6.7,73,1.042
2024-12-29,97.3,0.014,-0.537,84.1,6.42,77,1.027
2024-12-30,97.55,0.141,0.351,84.6,6.67,86,1.068
