date,customer_id,region,purchase_frequency,days_since_last_purchase,avg_basket_size,payment_delay_days,returns_count,churn_probability,churn_flag
2024-01-01,CUST_1012,Kolkata,5.5,40,3287.86,7,1,0.229,0
2024-01-01,CUST_1240,Mumbai,11.8,6,922.02,7,0,0.066,0
2024-01-01,CUST_1307,Chennai,6.3,2,2807.99,0,0,0.039,0
2024-01-01,CUST_1026,Chennai,10.7,16,2359.68,4,0,0.046,0
2024-01-01,CUST_1416,Delhi,7.0,14,1446.42,1,1,0.055,0
2024-01-01,CUST_1406,Kolkata,7.5,17,3200.21,0,0,0.072,0
2024-01-01,CUST_1334,Mumbai,5.1,0,2626.05,12,1,0.075,0
2024-01-01,CUST_1015,Mumbai,9.8,12,1726.5,6,0,0.055,0
2024-01-01,CUST_1464,Chennai,3.2,9,4606.86,9,0,0.076,0
2024-01-01,CUST_1323,Ahmedabad,4.0,4,1995.15,0,1,0.066,0
2024-01-01,CUST_1299,Chennai,7.5,12,1879.28,3,0,0.069,0
2024-01-01,CUST_1362,Pune,6.0,17,517.35,2,0,0.059,0
2024-01-01,CUST_1131,Delhi,6.7,17,2104.06,0,0,0.065,0
2024-01-01,CUST_1382,Chennai,9.2,3,4826.25,4,0,0.022,0
2024-01-01,CUST_1035,Chennai,8.3,0,3896.84,0,0,0.046,0
2024-01-01,CUST_1167,Kolkata,8.0,21,1015.18,2,0,0.038,0
2024-01-01,CUST_1253,Hyderabad,10.3,36,4586.04,2,0,0.076,0
2024-01-01,CUST_1094,Ahmedabad,6.4,0,4577.35,0,0,0.041,0
2024-01-01,CUST_1073,Kolkata,6.9,15,3648.08,1,1,0.229,1
2024-01-01,CUST_1048,Pune,7.1,47,2900.3,15,1,0.338,0
2024-01-01,CUST_1317,Ahmedabad,4.8,32,1298.63,13,0,0.314,1
2024-01-01,CUST_1215,Hyderabad,7.4,2,3851.39,4,0,0.034,0
2024-01-01,CUST_1315,Pune,8.7,15,1135.34,0,0,0.043,0
2024-01-01,CUST_1460,Pune,9.2,12,2246.35,4,0,0.065,0
2024-01-01,CUST_1285,Delhi,9.1,0,2406.57,7,0,0.031,0
2024-01-01,CUST_1050,Mumbai,8.0,4,882.62,1,0,0.03,0
2024-01-01,CUST_1468,Chennai,9.2,9,742.88,3,0,0.078,0
2024-01-01,CUST_1005,Pune,10.5,10,548.38,9,0,0.078,0
2024-01-01,CUST_1086,Bangalore,5.7,31,762.21,4,0,0.076,1
2024-01-01,CUST_1471,Chennai,10.7,20,2192.98,0,0,0.024,0
2024-01-01,CUST_1453,Delhi,5.6,27,2846.02,0,0,0.033,0
2024-01-01,CUST_1083,Ahmedabad,6.6,17,4074.61,13,0,0.057,0
2024-01-01,CUST_1176,Hyderabad,7.2,8,4078.58,5,0,0.062,0
2024-01-01,CUST_1045,Pune,7.6,8,512.34,8,0,0.066,0
2024-01-01,CUST_1267,Bangalore,6.2,0,557.2,0,0,0.077,0
2024-01-01,CUST_1162,Hyderabad,7.4,0,4100.13,0,0,0.02,0
2024-01-01,CUST_1484,Hyderabad,11.2,10,2169.94,2,0,0.02,0
2024-01-01,CUST_1082,Mumbai,7.4,21,3838.46,6,1,0.184,0
2024-01-01,CUST_1402,Bangalore,6.5,25,1380.26,19,3,0.232,0
2024-01-01,CUST_1381,Chennai,10.9,0,1281.98,1,1,0.045,0
2024-01-01,CUST_1116,Bangalore,6.2,16,1263.11,1,0,0.071,0
2024-01-01,CUST_1243,Kolkata,6.5,0,3665.1,0,0,0.015,0
2024-01-01,CUST_1462,Kolkata,3.5,0,4552.99,0,0,0.024,0
2024-01-01,CUST_1051,Kolkata,10.7,1,4703.68,1,0,0.043,0
2024-01-01,CUST_1282,Hyderabad,9.5,0,4027.83,6,0,0.012,0
2024-01-01,CUST_1187,Kolkata,3.1,50,863.63,3,0,0.257,0
2024-01-01,CUST_1286,Chennai,6.4,0,4276.77,0,0,0.027,0
2024-01-01,CUST_1133,Pune,5.8,4,3884.26,0,0,0.011,0
2024-01-01,CUST_1220,Mumbai,6.4,0,3114.49,0,0,0.044,0
2024-01-01,CUST_1235,Ahmedabad,6.1,2,4804.63,0,0,0.016,0
2024-01-01,CUST_1417,Mumbai,5.3,10,2925.78,0,0,0.018,0
2024-01-01,CUST_1139,Mumbai,7.7,1,4251.53,0,0,0.078,0
2024-01-01,CUST_1092,Mumbai,9.6,34,2592.37,12,1,0.238,1
2024-01-01,CUST_1393,Mumbai,6.8,21,3569.26,1,1,0.194,0
2024-01-01,CUST_1246,Hyderabad,7.1,17,4035.59,0,0,0.071,0
2024-01-01,CUST_1081,Kolkata,8.5,9,1650.18,0,0,0.051,0
2024-01-01,CUST_1041,Hyderabad,5.0,32,4060.42,0,0,0.074,0
2024-01-01,CUST_1444,Delhi,5.8,18,3178.75,4,0,0.07,0
2024-01-01,CUST_1495,Delhi,7.3,31,2408.21,2,2,0.251,0
2024-01-01,CUST_1461,Chennai,6.2,0,4198.96,2,0,0.062,0
2024-01-01,CUST_1411,Kolkata,4.8,11,2932.07,0,0,0.065,0
2024-01-01,CUST_1259,Mumbai,5.0,1,4075.07,0,0,0.067,0
2024-01-01,CUST_1079,Ahmedabad,10.8,9,4486.75,0,0,0.069,0
2024-01-01,CUST_1175,Hyderabad,4.1,0,4865.18,9,0,0.035,0
2024-01-01,CUST_1022,Pune,8.0,8,525.48,0,0,0.079,0
2024-01-01,CUST_1236,Kolkata,9.1,4,929.2,2,1,0.05,0
2024-01-01,CUST_1169,Kolkata,7.9,7,1686.94,0,1,0.073,0
2024-01-01,CUST_1113,Ahmedabad,6.8,40,1572.35,9,0,0.344,0
2024-01-01,CUST_1085,Bangalore,6.0,10,2037.24,8,0,0.067,0
2024-01-01,CUST_1475,Hyderabad,10.2,0,3124.37,0,0,0.017,0
2024-01-01,CUST_1341,Chennai,9.1,0,3982.79,0,0,0.018,0
2024-01-01,CUST_1359,Mumbai,6.0,23,3759.57,0,0,0.037,0
2024-01-01,CUST_1273,Ahmedabad,8.0,0,1951.27,0,1,0.044,0
2024-01-01,CUST_1040,Kolkata,5.4,2,3932.16,2,0,0.011,0
2024-01-01,CUST_1160,Bangalore,11.0,11,2476.51,2,0,0.039,0
2024-01-01,CUST_1400,Pune,6.8,22,3830.97,0,0,0.072,0
2024-01-01,CUST_1386,Ahmedabad,6.4,0,3674.58,0,0,0.027,0
2024-01-01,CUST_1324,Ahmedabad,6.5,14,3603.7,2,1,0.077,0
2024-01-01,CUST_1241,Chennai,7.5,0,2371.28,0,1,0.057,0
2024-01-01,CUST_1106,Kolkata,7.6,40,4269.59,12,1,0.28,0
2024-01-01,CUST_1137,Chennai,8.0,0,1906.59,2,1,0.018,0
2024-01-01,CUST_1024,Hyderabad,6.4,14,4125.48,0,0,0.03,0
2024-01-01,CUST_1060,Hyderabad,6.8,5,825.86,0,0,0.074,0
2024-01-01,CUST_1336,Delhi,6.4,13,598.37,2,0,0.204,0
2024-01-01,CUST_1101,Kolkata,5.0,53,3881.83,16,1,0.333,0
2024-01-01,CUST_1491,Chennai,7.9,16,601.7,11,0,0.023,0
2024-01-01,CUST_1454,Chennai,12.8,15,2603.02,0,0,0.032,0
2024-01-01,CUST_1388,Pune,10.6,17,2853.11,0,0,0.077,0
2024-01-01,CUST_1144,Chennai,6.4,0,1313.52,0,2,0.042,0
2024-01-01,CUST_1331,Kolkata,7.5,0,2573.2,1,0,0.057,0
2024-01-01,CUST_1211,Ahmedabad,5.0,21,1430.14,0,2,0.08,0
2024-01-01,CUST_1478,Hyderabad,7.6,20,2804.46,6,1,0.072,0
2024-01-01,CUST_1374,Mumbai,8.1,4,4808.24,0,0,0.038,0
2024-01-01,CUST_1214,Bangalore,8.5,18,1121.78,0,0,0.056,0
2024-01-01,CUST_1189,Delhi,3.8,19,2255.61,2,0,0.063,0
2024-01-01,CUST_1398,Bangalore,8.8,11,2066.55,0,0,0.04,0
2024-01-01,CUST_1372,Ahmedabad,6.5,16,4002.15,0,0,0.024,0
2024-01-01,CUST_1390,Ahmedabad,7.0,0,1887.11,15,0,0.05,0
2024-01-01,CUST_1125,Delhi,8.7,0,2256.66,7,1,0.03,0
2024-01-01,CUST_1292,Ahmedabad,8.6,0,1204.92,0,0,0.041,0
2024-01-01,CUST_1019,Ahmedabad,10.2,0,4452.43,0,0,0.02,0
2024-01-01,CUST_1191,Chennai,9.5,8,1860.18,1,0,0.058,0
2024-01-01,CUST_1023,Ahmedabad,10.0,0,2352.13,6,0,0.01,0
2024-01-01,CUST_1373,Delhi,7.3,0,2390.43,2,0,0.07,0
2024-01-01,CUST_1340,Mumbai,7.4,6,2184.22,8,0,0.047,0
2024-01-01,CUST_1171,Ahmedabad,9.7,0,3116.42,0,0,0.053,0
2024-01-01,CUST_1392,Bangalore,7.5,0,1611.07,0,0,0.027,0
2024-01-01,CUST_1006,Bangalore,4.7,0,1143.27,12,0,0.035,1
2024-01-01,CUST_1365,Bangalore,10.0,0,4593.6,0,0,0.028,0
2024-01-01,CUST_1232,Pune,8.7,19,879.34,4,0,0.031,0
2024-01-01,CUST_1014,Delhi,10.1,8,4869.34,0,0,0.052,0
2024-01-01,CUST_1492,Pune,8.2,7,4365.71,0,0,0.067,0
2024-01-01,CUST_1358,Hyderabad,8.5,21,3073.37,3,0,0.242,0
2024-01-01,CUST_1457,Chennai,10.0,7,547.27,0,1,0.051,0
2024-01-01,CUST_1277,Hyderabad,6.6,5,661.93,5,0,0.05,0
2024-01-01,CUST_1297,Mumbai,9.8,10,965.47,0,0,0.03,0
2024-01-01,CUST_1107,Hyderabad,9.9,0,2776.4,0,0,0.058,0
2024-01-01,CUST_1357,Ahmedabad,9.0,16,3282.42,0,1,0.034,0
2024-01-01,CUST_1418,Bangalore,7.4,13,1060.21,0,0,0.029,0
2024-01-01,CUST_1476,Delhi,7.2,18,1678.3,3,0,0.069,0
2024-01-01,CUST_1312,Bangalore,5.5,1,3698.12,0,0,0.017,0
2024-01-01,CUST_1226,Delhi,9.7,5,1665.89,4,0,0.062,0
2024-01-01,CUST_1184,Delhi,7.8,3,4197.59,0,0,0.065,0
2024-01-01,CUST_1161,Mumbai,7.2,5,4687.81,0,0,0.011,0
2024-01-01,CUST_1302,Ahmedabad,9.8,8,2452.05,12,0,0.038,0
2024-01-01,CUST_1182,Bangalore,10.3,2,2182.02,0,1,0.047,0
2024-01-01,CUST_1321,Ahmedabad,8.7,0,4709.92,0,0,0.018,0
2024-01-01,CUST_1466,Mumbai,11.8,4,2349.49,3,0,0.025,0
2024-01-01,CUST_1067,Bangalore,6.6,0,3997.57,0,0,0.036,0
2024-01-01,CUST_1477,Hyderabad,6.2,0,4713.99,4,0,0.036,0
2024-01-01,CUST_1087,Ahmedabad,8.5,26,1247.46,0,0,0.033,0
2024-01-01,CUST_1256,Ahmedabad,3.6,16,3416.4,0,0,0.05,0
2024-01-01,CUST_1205,Bangalore,6.4,0,550.59,3,0,0.05,0
2024-01-01,CUST_1298,Hyderabad,9.2,7,4123.55,1,0,0.044,0
2024-01-01,CUST_1279,Kolkata,6.4,21,3008.96,2,1,0.066,0
2024-01-01,CUST_1078,Pune,6.2,20,1323.85,0,0,0.078,0
2024-01-01,CUST_1020,Mumbai,4.6,2,1189.37,7,0,0.044,0
2024-01-01,CUST_1425,Pune,8.0,0,2610.56,2,1,0.025,0
2024-01-01,CUST_1470,Bangalore,8.2,5,4635.28,0,0,0.022,0
2024-01-01,CUST_1149,Chennai,7.6,20,961.91,7,0,0.079,0
2024-01-01,CUST_1449,Mumbai,9.3,12,4257.32,11,0,0.038,0
2024-01-01,CUST_1351,Mumbai,6.1,38,3193.55,9,0,0.273,0
2024-01-01,CUST_1009,Ahmedabad,4.5,15,3540.28,2,0,0.067,0
2024-01-01,CUST_1114,Kolkata,6.2,0,3828.77,3,0,0.078,0
2024-01-01,CUST_1043,Kolkata,7.6,0,2592.6,8,0,0.045,0
2024-01-01,CUST_1174,Kolkata,7.8,15,2476.74,0,0,0.056,0
2024-01-01,CUST_1011,Kolkata,9.2,5,4669.67,7,0,0.054,0
2024-01-01,CUST_1437,Chennai,11.3,4,1442.31,3,1,0.073,0
2024-01-01,CUST_1257,Pune,8.0,0,2131.83,3,0,0.016,0
2024-01-01,CUST_1017,Bangalore,4.1,24,3014.94,14,0,0.263,0
2024-01-01,CUST_1044,Ahmedabad,6.0,11,4372.31,0,0,0.068,0
2024-01-01,CUST_1356,Mumbai,3.6,23,2822.13,0,0,0.079,0
2024-01-01,CUST_1203,Kolkata,7.3,18,1534.34,9,0,0.039,0
2024-01-01,CUST_1042,Kolkata,2.8,0,3662.63,10,0,0.06,0
2024-01-31,CUST_1264,Kolkata,8.5,17,3755.75,0,0,0.022,0
2024-01-31,CUST_1390,Bangalore,7.5,17,1062.3,14,1,0.05,1
2024-01-31,CUST_1395,Kolkata,11.7,0,1648.7,0,0,0.016,0
2024-01-31,CUST_1271,Pune,8.0,4,1685.54,0,0,0.035,0
2024-01-31,CUST_1094,Kolkata,6.5,3,4805.94,0,0,0.041,0
2024-01-31,CUST_1160,Pune,4.3,15,2577.32,0,0,0.039,0
2024-01-31,CUST_1290,Delhi,7.5,18,3779.29,0,0,0.053,0
2024-01-31,CUST_1460,Ahmedabad,11.7,0,1068.16,0,0,0.065,0
2024-01-31,CUST_1449,Bangalore,9.4,0,4103.61,2,1,0.038,0
2024-01-31,CUST_1177,Ahmedabad,10.4,15,1504.75,0,0,0.017,0
2024-01-31,CUST_1061,Pune,6.6,0,2503.39,4,0,0.038,0
2024-01-31,CUST_1444,Kolkata,9.4,10,4812.41,8,0,0.07,0
2024-01-31,CUST_1291,Hyderabad,8.5,5,584.48,11,1,0.074,0
2024-01-31,CUST_1054,Kolkata,10.2,32,2157.78,0,0,0.038,0
2024-01-31,CUST_1350,Pune,5.9,2,1922.5,7,0,0.08,0
2024-01-31,CUST_1039,Mumbai,6.8,34,3049.89,7,0,0.176,0
2024-01-31,CUST_1007,Delhi,4.4,1,2904.59,0,0,0.042,0
2024-01-31,CUST_1206,Bangalore,7.2,0,2592.46,1,0,0.032,0
2024-01-31,CUST_1274,Delhi,9.8,2,3602.44,0,0,0.048,0
2024-01-31,CUST_1447,Delhi,6.2,9,1472.65,12,0,0.06,0
2024-01-31,CUST_1335,Ahmedabad,6.3,2,2274.85,0,0,0.027,0
2024-01-31,CUST_1292,Ahmedabad,4.2,0,3399.77,5,0,0.041,0
2024-01-31,CUST_1368,Kolkata,5.6,0,4502.98,1,1,0.039,0
2024-01-31,CUST_1063,Ahmedabad,9.7,14,4812.21,0,1,0.053,0
2024-01-31,CUST_1058,Mumbai,8.5,0,3093.37,0,0,0.065,0
2024-01-31,CUST_1021,Ahmedabad,6.8,5,2304.09,0,0,0.051,1
2024-01-31,CUST_1347,Bangalore,11.1,24,3496.31,0,0,0.021,0
2024-01-31,CUST_1168,Chennai,5.4,8,2246.09,0,0,0.016,0
2024-01-31,CUST_1293,Delhi,7.4,21,1533.91,0,0,0.041,0
2024-01-31,CUST_1421,Hyderabad,5.0,5,679.14,6,0,0.054,0
2024-01-31,CUST_1126,Pune,8.1,2,1694.84,6,0,0.069,0
2024-01-31,CUST_1024,Ahmedabad,8.1,4,4151.35,0,1,0.03,0
2024-01-31,CUST_1470,Pune,7.1,13,3598.98,4,0,0.022,0
2024-01-31,CUST_1240,Pune,8.3,13,794.66,0,0,0.066,0
2024-01-31,CUST_1260,Bangalore,11.0,3,4715.87,6,0,0.053,0
2024-01-31,CUST_1404,Kolkata,8.9,0,1226.55,3,0,0.051,0
2024-01-31,CUST_1118,Delhi,5.0,13,2934.4,0,0,0.048,0
2024-01-31,CUST_1356,Delhi,7.9,22,4792.44,4,1,0.079,0
2024-01-31,CUST_1013,Mumbai,8.5,9,3173.93,5,0,0.053,0
2024-01-31,CUST_1055,Kolkata,8.0,48,3542.76,10,1,0.319,0
2024-01-31,CUST_1207,Mumbai,8.3,15,4594.86,0,0,0.033,0
2024-01-31,CUST_1089,Chennai,6.7,10,1148.17,7,1,0.056,0
2024-01-31,CUST_1304,Ahmedabad,12.7,0,3641.89,0,0,0.016,0
2024-01-31,CUST_1261,Mumbai,11.9,0,2756.51,0,0,0.029,0
2024-01-31,CUST_1265,Kolkata,8.1,0,3514.36,0,0,0.021,0
2024-01-31,CUST_1167,Mumbai,8.3,6,4615.36,1,0,0.038,0
2024-01-31,CUST_1380,Bangalore,9.9,0,3165.25,3,1,0.052,0
2024-01-31,CUST_1233,Mumbai,6.0,4,1307.62,10,0,0.02,0
2024-01-31,CUST_1245,Kolkata,10.5,5,3824.2,0,2,0.038,0
2024-01-31,CUST_1140,Bangalore,6.9,9,1596.26,0,0,0.015,0
2024-01-31,CUST_1155,Mumbai,7.8,0,1913.6,0,0,0.037,0
2024-01-31,CUST_1481,Bangalore,8.2,10,1031.75,3,1,0.044,0
2024-01-31,CUST_1371,Mumbai,9.0,8,4485.34,0,0,0.017,0
2024-01-31,CUST_1109,Delhi,5.4,3,643.9,0,1,0.076,0
2024-01-31,CUST_1009,Mumbai,8.1,8,2661.04,1,0,0.067,0
2024-01-31,CUST_1432,Pune,4.0,0,3153.83,6,0,0.038,0
2024-01-31,CUST_1375,Pune,6.5,0,1765.89,0,0,0.014,0
2024-01-31,CUST_1236,Chennai,9.5,0,3772.68,0,0,0.05,0
2024-01-31,CUST_1180,Mumbai,6.7,8,4496.96,0,1,0.058,0
2024-01-31,CUST_1352,Mumbai,10.5,0,2755.36,9,0,0.017,0
2024-01-31,CUST_1426,Delhi,8.1,8,691.09,4,0,0.025,0
2024-01-31,CUST_1183,Pune,9.5,18,1248.28,0,1,0.057,0
2024-01-31,CUST_1496,Delhi,10.0,5,4833.2,0,0,0.018,0
2024-01-31,CUST_1401,Hyderabad,9.2,0,3278.5,0,0,0.057,0
2024-01-31,CUST_1462,Bangalore,9.1,10,1863.56,2,0,0.024,0
2024-01-31,CUST_1158,Kolkata,8.5,0,2747.93,17,0,0.027,0
2024-01-31,CUST_1338,Bangalore,10.0,3,2905.35,5,0,0.074,0
2024-01-31,CUST_1257,Delhi,7.6,0,2598.14,0,0,0.016,0
2024-01-31,CUST_1398,Mumbai,4.8,13,2412.77,4,0,0.04,0
2024-01-31,CUST_1174,Hyderabad,8.0,34,1618.08,5,0,0.056,0
2024-01-31,CUST_1288,Delhi,5.2,2,991.78,4,0,0.037,0
2024-01-31,CUST_1095,Chennai,8.5,14,2881.69,0,0,0.05,0
2024-01-31,CUST_1373,Delhi,9.4,0,1695.32,12,1,0.07,0
2024-01-31,CUST_1111,Delhi,6.8,26,3063.06,0,0,0.039,0
2024-01-31,CUST_1489,Chennai,6.1,34,2678.03,22,1,0.258,0
2024-01-31,CUST_1122,Chennai,7.3,14,4684.8,0,0,0.032,0
2024-01-31,CUST_1282,Chennai,8.4,2,1024.25,5,0,0.012,0
2024-01-31,CUST_1238,Pune,7.0,3,921.5,2,0,0.073,0
2024-01-31,CUST_1445,Chennai,5.2,13,3893.95,3,0,0.048,0
2024-01-31,CUST_1132,Chennai,5.9,0,3691.42,1,0,0.079,0
2024-01-31,CUST_1325,Bangalore,7.9,0,714.98,12,0,0.044,0
2024-01-31,CUST_1093,Ahmedabad,5.3,13,3858.2,6,0,0.045,0
2024-01-31,CUST_1190,Kolkata,5.4,0,4125.24,2,0,0.045,0
2024-01-31,CUST_1476,Ahmedabad,4.6,11,4729.81,12,1,0.069,0
2024-01-31,CUST_1383,Mumbai,10.2,0,1015.98,0,0,0.051,0
2024-01-31,CUST_1454,Ahmedabad,7.1,8,3300.36,1,0,0.032,0
2024-01-31,CUST_1275,Chennai,7.0,13,2055.84,0,0,0.056,0
2024-01-31,CUST_1250,Bangalore,6.2,0,2044.5,7,0,0.012,0
2024-01-31,CUST_1018,Kolkata,8.0,10,579.95,0,0,0.022,0
2024-01-31,CUST_1364,Pune,7.6,36,1322.49,2,1,0.203,0
2024-01-31,CUST_1307,Kolkata,6.4,0,3271.36,0,0,0.039,0
2024-01-31,CUST_1227,Pune,5.4,16,1667.47,1,0,0.017,0
2024-01-31,CUST_1266,Ahmedabad,5.3,6,2312.8,7,0,0.049,0
2024-01-31,CUST_1226,Kolkata,9.7,0,2464.56,8,1,0.062,0
2024-01-31,CUST_1067,Mumbai,9.6,21,2279.34,6,0,0.036,0
2024-01-31,CUST_1346,Bangalore,3.6,8,2101.58,11,0,0.072,0
2024-01-31,CUST_1079,Kolkata,5.9,9,2056.17,0,0,0.069,0
2024-01-31,CUST_1446,Mumbai,9.2,2,3273.58,0,0,0.023,0
2024-01-31,CUST_1166,Kolkata,9.8,26,4546.29,7,0,0.072,0
2024-01-31,CUST_1259,Bangalore,6.8,0,1601.72,4,0,0.067,0
2024-01-31,CUST_1493,Mumbai,8.5,14,2671.13,5,1,0.034,0
2024-01-31,CUST_1062,Chennai,10.6,6,2313.98,0,0,0.049,0
2024-01-31,CUST_1148,Hyderabad,10.3,0,2219.64,1,0,0.026,0
2024-01-31,CUST_1485,Pune,4.7,24,1567.67,0,1,0.154,0
2024-01-31,CUST_1023,Kolkata,6.9,0,3275.26,8,1,0.01,0
2024-01-31,CUST_1317,Mumbai,3.3,37,3440.8,3,0,0.314,0
2024-01-31,CUST_1082,Chennai,5.2,27,868.14,0,0,0.184,0
2024-01-31,CUST_1370,Delhi,8.3,25,2937.46,3,0,0.022,0
2024-01-31,CUST_1321,Delhi,6.9,0,3451.55,0,0,0.018,0
2024-01-31,CUST_1208,Delhi,7.8,25,618.1,0,0,0.042,0
2024-01-31,CUST_1176,Bangalore,3.7,10,2523.14,6,0,0.062,0
2024-01-31,CUST_1040,Delhi,5.9,6,1853.15,9,0,0.011,0
2024-01-31,CUST_1038,Bangalore,7.4,13,1220.22,9,0,0.032,0
2024-01-31,CUST_1361,Mumbai,8.4,10,4401.27,6,0,0.028,0
2024-01-31,CUST_1314,Delhi,6.4,16,3016.97,8,0,0.072,0
2024-01-31,CUST_1070,Hyderabad,10.4,0,1151.17,1,0,0.031,1
2024-01-31,CUST_1012,Delhi,5.7,34,3375.7,18,1,0.229,0
2024-01-31,CUST_1434,Pune,5.0,12,3627.8,0,1,0.038,0
2024-01-31,CUST_1184,Pune,5.5,5,3674.36,0,0,0.065,0
2024-01-31,CUST_1110,Kolkata,7.2,15,4285.3,2,0,0.042,0
2024-01-31,CUST_1047,Ahmedabad,5.7,0,1035.92,0,0,0.019,0
2024-01-31,CUST_1175,Ahmedabad,6.6,0,4309.03,0,0,0.035,0
2024-01-31,CUST_1366,Ahmedabad,8.3,12,1277.81,4,0,0.059,0
2024-01-31,CUST_1237,Mumbai,7.6,0,3265.82,4,0,0.032,0
2024-01-31,CUST_1328,Hyderabad,5.6,39,1153.27,10,1,0.344,0
2024-01-31,CUST_1015,Chennai,6.5,15,3796.74,0,1,0.055,0
2024-01-31,CUST_1097,Pune,4.5,0,2803.4,8,0,0.044,0
2024-01-31,CUST_1119,Pune,5.7,31,3917.65,3,0,0.188,0
2024-01-31,CUST_1297,Ahmedabad,6.3,11,3333.01,0,0,0.03,0
2024-01-31,CUST_1355,Ahmedabad,7.8,15,2498.4,0,0,0.067,0
2024-01-31,CUST_1008,Kolkata,8.3,4,3830.26,0,0,0.017,0
2024-01-31,CUST_1027,Ahmedabad,3.9,0,1279.44,10,0,0.03,0
2024-01-31,CUST_1137,Hyderabad,8.8,0,2732.17,3,0,0.018,0
2024-01-31,CUST_1205,Kolkata,6.7,17,2241.44,4,0,0.05,0
2024-01-31,CUST_1131,Delhi,7.3,6,1539.05,0,0,0.065,0
2024-01-31,CUST_1172,Bangalore,10.6,0,1143.35,0,0,0.02,0
2024-01-31,CUST_1221,Mumbai,8.4,2,1106.48,3,0,0.016,0
2024-01-31,CUST_1244,Pune,4.4,12,4307.18,12,1,0.049,0
2024-01-31,CUST_1423,Mumbai,6.4,4,745.9,0,0,0.042,0
2024-01-31,CUST_1319,Ahmedabad,9.1,20,2713.96,0,0,0.049,0
