date,facility,utilization_pct,downtime_minutes,maintenance_flag
2024-02-19,DC-Bangalore,76.0,0,0
2024-02-19,Cloud-AWS-AP-South,78.4,0,0
2024-02-20,DC-Mumbai,53.0,0,0
2024-02-20,DC-Delhi,90.4,0,0
2024-02-20,DC-Bangalore,61.8,0,0
2024-02-20,Cloud-AWS-AP-South,80.0,0,0
2024-02-21,DC-Mumbai,55.8,0,0
2024-02-21,DC-Delhi,65.6,0,0
2024-02-21,DC-Bangalore,69.1,0,0
2024-02-21,Cloud-AWS-AP-South,64.3,0,0
2024-02-22,DC-Mumbai,78.7,0,0
2024-02-22,DC-Delhi,64.2,0,0
2024-02-22,DC-Bangalore,72.7,0,0
2024-02-22,Cloud-AWS-AP-South,63.2,0,0
2024-02-23,DC-Mumbai,52.2,0,0
2024-02-23,DC-Delhi,52.4,0,0
2024-02-23,DC-Bangalore,64.3,0,0
2024-02-23,Cloud-AWS-AP-South,68.9,0,0
2024-02-24,DC-Mumbai,59.0,0,0
2024-02-24,DC-Delhi,86.6,0,0
2024-02-24,DC-Bangalore,90.4,0,0
2024-02-24,Cloud-AWS-AP-South,76.3,0,0
2024-02-25,DC-Mumbai,53.5,0,0
2024-02-25,DC-Delhi,75.3,0,0
2024-02-25,DC-Bangalore,60.4,0,0
2024-02-25,Cloud-AWS-AP-South,68.2,0,0
2024-02-26,DC-Mumbai,84.6,0,0
2024-02-26,DC-Delhi,82.7,0,0
2024-02-26,DC-Bangalore,59.5,0,0
2024-02-26,Cloud-AWS-AP-South,71.8,0,0
2024-02-27,DC-Mumbai,90.8,0,1
2024-02-27,DC-Delhi,51.7,0,0
2024-02-27,DC-Bangalore,55.0,0,0
2024-02-27,Cloud-AWS-AP-South,60.6,0,0
2024-02-28,DC-Mumbai,86.2,0,0
2024-02-28,DC-Delhi,83.4,0,0
2024-02-28,DC-Bangalore,52.7,0,0
2024-02-28,Cloud-AWS-AP-South,76.6,0,0
2024-02-29,DC-Mumbai,71.5,0,0
2024-02-29,DC-Delhi,86.6,0,0
2024-02-29,DC-Bangalore,63.7,0,0
2024-02-29,Cloud-AWS-AP-South,61.7,0,0
2024-03-01,DC-Mumbai,77.1,0,0
2024-03-01,DC-Delhi,58.3,0,0
2024-03-01,DC-Bangalore,83.4,0,0
2024-03-01,Cloud-AWS-AP-South,62.7,0,0
2024-03-02,DC-Mumbai,65.7,0,0
2024-03-02,DC-Delhi,56.5,0,0
2024-03-02,DC-Bangalore,47.9,0,0
2024-03-02,Cloud-AWS-AP-South,79.9,0,0
2024-03-03,DC-Mumbai,53.4,0,1
2024-03-03,DC-Delhi,72.9,0,0
2024-03-03,DC-Bangalore,65.6,0,0
2024-03-03,Cloud-AWS-AP-South,75.7,0,0
2024-03-04,DC-Mumbai,60.3,0,1
2024-03-04,DC-Delhi,48.1,0,0
2024-03-04,DC-Bangalore,74.7,0,0
2024-03-04,Cloud-AWS-AP-South,70.1,0,0
2024-03-05,DC-Mumbai,81.8,0,0
2024-03-05,DC-Delhi,46.9,0,0
2024-03-05,DC-Bangalore,82.5,0,0
2024-03-05,Cloud-AWS-AP-South,72.3,0,0
2024-03-06,DC-Mumbai,69.4,0,0
2024-03-06,DC-Delhi,55.8,0,0
2024-03-06,DC-Bangalore,69.0,0,0
2024-03-06,Cloud-AWS-AP-South,76.1,0,0
2024-03-07,DC-Mumbai,87.4,0,0
2024-03-07,DC-Delhi,62.7,0,0
2024-03-07,DC-Bangalore,91.1,0,0
2024-03-07,Cloud-AWS-AP-South,76.9,0,0
2024-03-08,DC-Mumbai,65.1,0,0
2024-03-08,DC-Delhi,51.5,0,0
2024-03-08,DC-Bangalore,84.0,0,0
2024-03-08,Cloud-AWS-AP-South,82.3,0,1
2024-03-09,DC-Mumbai,56.5,0,0
2024-03-09,DC-Delhi,53.3,0,0
2024-03-09,DC-Bangalore,63.2,0,0
2024-03-09,Cloud-AWS-AP-South,69.1,0,0
2024-03-10,DC-Mumbai,80.6,0,0
2024-03-10,DC-Delhi,56.2,0,0
2024-03-10,DC-Bangalore,45.4,0,0
2024-03-10,Cloud-AWS-AP-South,83.9,0,0
2024-03-11,DC-Mumbai,78.8,0,0
2024-03-11,DC-Delhi,64.0,0,0
2024-03-11,DC-Bangalore,46.7,0,0
2024-03-11,Cloud-AWS-AP-South,62.0,0,0
2024-03-12,DC-Mumbai,82.8,0,0
2024-03-12,DC-Delhi,90.8,0,1
2024-03-12,DC-Bangalore,86.3,0,1
2024-03-12,Cloud-AWS-AP-South,69.2,0,0
2024-03-13,DC-Mumbai,60.0,0,0
2024-03-13,DC-Delhi,88.4,0,0
2024-03-13,DC-Bangalore,88.0,0,0
2024-03-13,Cloud-AWS-AP-South,63.5,0,0
2024-03-14,DC-Mumbai,91.5,0,0
2024-03-14,DC-Delhi,86.3,0,0
2024-03-14,DC-Bangalore,78.1,0,0
2024-03-14,Cloud-AWS-AP-South,61.1,0,0
2024-03-15,DC-Mumbai,62.4,0,0
2024-03-15,DC-Delhi,0.0,75,0
2024-03-15,DC-Bangalore,53.3,0,0
2024-03-15,Cloud-AWS-AP-South,84.4,0,0
2024-03-16,DC-Mumbai,45.0,0,0
2024-03-16,DC-Delhi,64.4,0,0
2024-03-16,DC-Bangalore,48.0,0,0
2024-03-16,Cloud-AWS-AP-South,79.4,0,0
2024-03-17,DC-Mumbai,75.7,0,0
2024-03-17,DC-Delhi,71.8,0,0
2024-03-17,DC-Bangalore,72.0,0,0
2024-03-17,Cloud-AWS-AP-South,66.3,0,0
2024-03-18,DC-Mumbai,50.5,0,0
2024-03-18,DC-Delhi,68.0,0,0
2024-03-18,DC-Bangalore,83.0,0,0
2024-03-18,Cloud-AWS-AP-South,69.7,0,0
2024-03-19,DC-Mumbai,81.6,0,1
2024-03-19,DC-Delhi,49.5,0,0
2024-03-19,DC-Bangalore,88.8,0,0
2024-03-19,Cloud-AWS-AP-South,65.2,0,0
2024-03-20,DC-Mumbai,86.3,0,0
2024-03-20,DC-Delhi,72.7,0,0
2024-03-20,DC-Bangalore,81.8,0,0
2024-03-20,Cloud-AWS-AP-South,78.0,0,0
2024-03-21,DC-Mumbai,88.0,0,0
2024-03-21,DC-Delhi,62.0,0,0
2024-03-21,DC-Bangalore,91.4,0,0
2024-03-21,Cloud-AWS-AP-South,63.0,0,0
2024-03-22,DC-Mumbai,67.8,0,0
2024-03-22,DC-Delhi,83.4,0,0
2024-03-22,DC-Bangalore,60.5,0,0
2024-03-22,Cloud-AWS-AP-South,73.7,0,0
2024-03-23,DC-Mumbai,81.2,0,0
2024-03-23,DC-Delhi,69.9,0,0
2024-03-23,DC-Bangalore,45.7,0,0
2024-03-23,Cloud-AWS-AP-South,81.9,0,0
2024-03-24,DC-Mumbai,53.5,0,0
2024-03-24,DC-Delhi,46.4,0,0
2024-03-24,DC-Bangalore,64.3,0,0
2024-03-24,Cloud-AWS-AP-South,68.1,0,0
2024-03-25,DC-Mumbai,57.3,0,0
2024-03-25,DC-Delhi,56.2,0,0
2024-03-25,DC-Bangalore,53.0,0,0
2024-03-25,Cloud-AWS-AP-South,66.1,0,0
2024-03-26,DC-Mumbai,63.6,0,0
2024-03-26,DC-Delhi,72.6,0,0
2024-03-26,DC-Bangalore,90.6,0,0
2024-03-26,Cloud-AWS-AP-South,61.7,0,0
2024-03-27,DC-Mumbai,81.0,0,0
2024-03-27,DC-Delhi,58.9,0,0
2024-03-27,DC-Bangalore,58.8,0,0
2024-03-27,Cloud-AWS-AP-South,67.7,0,0
2024-03-28,DC-Mumbai,56.2,0,0
2024-03-28,DC-Delhi,61.0,0,0
2024-03-28,DC-Bangalore,49.9,0,0
2024-03-28,Cloud-AWS-AP-South,84.1,0,0
2024-03-29,DC-Mumbai,71.9,0,0
2024-03-29,DC-Delhi,48.7,0,0
2024-03-29,DC-Bangalore,68.2,0,0
2024-03-29,Cloud-AWS-AP-South,61.7,0,0
2024-03-30,DC-Mumbai,86.0,0,0
2024-03-30,DC-Delhi,54.9,0,0
2024-03-30,DC-Bangalore,59.6,0,0
2024-03-30,Cloud-AWS-AP-South,75.6,0,0
2024-03-31,DC-Mumbai,88.0,0,0
2024-03-31,DC-Delhi,63.9,0,0
2024-03-31,DC-Bangalore,46.3,0,0
2024-03-31,Cloud-AWS-AP-South,72.2,0,0
2024-04-01,DC-Mumbai,74.2,0,0
2024-04-01,DC-Delhi,50.3,0,1
2024-04-01,DC-Bangalore,91.6,0,0
2024-04-01,Cloud-AWS-AP-South,75.5,0,0
2024-04-02,DC-Mumbai,61.0,0,0
2024-04-02,DC-Delhi,53.5,0,0
2024-04-02,DC-Bangalore,78.7,0,1
2024-04-02,Cloud-AWS-AP-South,70.9,0,0
2024-04-03,DC-Mumbai,79.6,0,0
2024-04-03,DC-Delhi,87.9,0,0
2024-04-03,DC-Bangalore,55.6,0,0
2024-04-03,Cloud-AWS-AP-South,64.5,0,0
2024-04-04,DC-Mumbai,47.0,0,0
2024-04-04,DC-Delhi,78.5,0,0
2024-04-04,DC-Bangalore,70.9,0,0
2024-04-04,Cloud-AWS-AP-South,71.0,0,0
2024-04-05,DC-Mumbai,60.8,0,0
2024-04-05,DC-Delhi,61.9,0,0
2024-04-05,DC-Bangalore,81.6,0,0
2024-04-05,Cloud-AWS-AP-South,83.6,0,0
2024-04-06,DC-Mumbai,64.9,0,0
2024-04-06,DC-Delhi,88.3,0,0
2024-04-06,DC-Bangalore,59.7,0,0
2024-04-06,Cloud-AWS-AP-South,80.0,0,0
2024-04-07,DC-Mumbai,76.9,0,0
2024-04-07,DC-Delhi,81.0,0,0
2024-04-07,DC-Bangalore,86.6,0,0
2024-04-07,Cloud-AWS-AP-South,77.4,0,0
2024-04-08,DC-Mumbai,53.3,0,0
2024-04-08,DC-Delhi,58.1,0,0
2024-04-08,DC-Bangalore,89.0,0,1
2024-04-08,Cloud-AWS-AP-South,73.0,0,1
2024-04-09,DC-Mumbai,58.9,0,0
2024-04-09,DC-Delhi,55.3,0,0
2024-04-09,DC-Bangalore,76.5,0,0
2024-04-09,Cloud-AWS-AP-South,75.8,0,0
2024-04-10,DC-Mumbai,66.1,0,0
2024-04-10,DC-Delhi,61.6,0,0
2024-04-10,DC-Bangalore,78.5,0,0
2024-04-10,Cloud-AWS-AP-South,72.5,0,0
2024-04-11,DC-Mumbai,52.5,0,0
2024-04-11,DC-Delhi,55.5,0,0
2024-04-11,DC-Bangalore,90.8,0,0
2024-04-11,Cloud-AWS-AP-South,79.5,0,0
2024-04-12,DC-Mumbai,70.0,0,0
2024-04-12,DC-Delhi,88.3,0,0
2024-04-12,DC-Bangalore,56.7,0,0
2024-04-12,Cloud-AWS-AP-South,83.5,0,0
2024-04-13,DC-Mumbai,73.1,0,0
2024-04-13,DC-Delhi,70.0,0,0
2024-04-13,DC-Bangalore,87.7,0,0
2024-04-13,Cloud-AWS-AP-South,71.6,0,0
2024-04-14,DC-Mumbai,74.4,0,0
2024-04-14,DC-Delhi,71.6,0,0
2024-04-14,DC-Bangalore,87.0,0,0
2024-04-14,Cloud-AWS-AP-South,64.0,0,0
2024-04-15,DC-Mumbai,81.1,0,0
2024-04-15,DC-Delhi,57.9,0,0
2024-04-15,DC-Bangalore,62.2,0,1
2024-04-15,Cloud-AWS-AP-South,82.2,0,1
2024-04-16,DC-Mumbai,50.4,0,0
2024-04-16,DC-Delhi,45.7,0,0
2024-04-16,DC-Bangalore,85.7,0,0
2024-04-16,Cloud-AWS-AP-South,75.7,0,0
2024-04-17,DC-Mumbai,67.8,0,0
2024-04-17,DC-Delhi,57.8,0,0
2024-04-17,DC-Bangalore,50.7,0,0
2024-04-17,Cloud-AWS-AP-South,74.4,0,0
2024-04-18,DC-Mumbai,63.5,0,0
2024-04-18,DC-Delhi,45.2,0,0
2024-04-18,DC-Bangalore,66.0,0,0
2024-04-18,Cloud-AWS-AP-South,64.3,0,0
2024-04-19,DC-Mumbai,76.0,0,0
2024-04-19,DC-Delhi,74.1,0,0
2024-04-19,DC-Bangalore,80.5,0,0
2024-04-19,Cloud-AWS-AP-South,69.8,0,0
2024-04-20,DC-Mumbai,81.1,0,0
2024-04-20,DC-Delhi,62.7,0,0
2024-04-20,DC-Bangalore,81.0,0,0
2024-04-20,Cloud-AWS-AP-South,73.7,0,0
2024-04-21,DC-Mumbai,73.8,0,0
2024-04-21,DC-Delhi,68.5,0,0
2024-04-21,DC-Bangalore,66.1,0,0
2024-04-21,Cloud-AWS-AP-South,84.5,0,0
2024-04-22,DC-Mumbai,64.8,0,0
2024-04-22,DC-Delhi,61.6,0,0
2024-04-22,DC-Bangalore,51.0,0,0
2024-04-22,Cloud-AWS-AP-South,63.2,0,0
2024-04-23,DC-Mumbai,55.1,0,0
2024-04-23,DC-Delhi,58.4,0,0
2024-04-23,DC-Bangalore,78.1,0,0
2024-04-23,Cloud-AWS-AP-South,65.8,0,0
2024-04-24,DC-Mumbai,48.5,0,0
2024-04-24,DC-Delhi,83.1,0,0
2024-04-24,DC-Bangalore,54.2,0,0
2024-04-24,Cloud-AWS-AP-South,62.8,0,0
2024-04-25,DC-Mumbai,51.1,0,0
2024-04-25,DC-Delhi,61.9,0,0
2024-04-25,DC-Bangalore,84.8,0,0
2024-04-25,Cloud-AWS-AP-South,73.9,0,0
2024-04-26,DC-Mumbai,46.8,0,0
2024-04-26,DC-Delhi,74.1,0,0
2024-04-26,DC-Bangalore,90.0,0,0
2024-04-26,Cloud-AWS-AP-South,0.0,99,0
2024-04-27,DC-Mumbai,63.8,0,0
2024-04-27,DC-Delhi,56.8,0,0
2024-04-27,DC-Bangalore,61.4,0,0
2024-04-27,Cloud-AWS-AP-South,75.8,0,0
2024-04-28,DC-Mumbai,56.6,0,0
2024-04-28,DC-Delhi,71.2,0,0
2024-04-28,DC-Bangalore,56.0,0,0
2024-04-28,Cloud-AWS-AP-South,63.5,0,0
2024-04-29,DC-Mumbai,72.0,0,0
2024-04-29,DC-Delhi,71.8,0,0
2024-04-29,DC-Bangalore,77.2,0,0
2024-04-29,Cloud-AWS-AP-South,78.9,0,0
2024-04-30,DC-Mumbai,57.7,0,0
2024-04-30,DC-Delhi,55.8,0,0
2024-04-30,DC-Bangalore,75.9,0,0
2024-04-30,Cloud-AWS-AP-South,69.4,0,0
2024-05-01,DC-Mumbai,71.5,0,0
2024-05-01,DC-Delhi,71.3,0,0
2024-05-01,DC-Bangalore,66.0,0,0
2024-05-01,Cloud-AWS-AP-South,68.0,0,0
2024-05-02,DC-Mumbai,87.7,0,0
2024-05-02,DC-Delhi,86.3,0,0
2024-05-02,DC-Bangalore,90.8,0,0
2024-05-02,Cloud-AWS-AP-South,69.4,0,0
2024-05-03,DC-Mumbai,51.8,0,0
2024-05-03,DC-Delhi,62.2,0,0
2024-05-03,DC-Bangalore,90.0,0,0
2024-05-03,Cloud-AWS-AP-South,83.5,0,0
2024-05-04,DC-Mumbai,68.5,0,0
2024-05-04,DC-Delhi,77.8,0,0
2024-05-04,DC-Bangalore,72.7,0,0
2024-05-04,Cloud-AWS-AP-South,84.7,0,0
2024-05-05,DC-Mumbai,79.2,0,0
2024-05-05,DC-Delhi,0.0,77,0
2024-05-05,DC-Bangalore,50.0,0,0
2024-05-05,Cloud-AWS-AP-South,65.3,0,0
2024-05-06,DC-Mumbai,66.7,0,0
2024-05-06,DC-Delhi,69.1,0,0
2024-05-06,DC-Bangalore,65.1,0,0
2024-05-06,Cloud-AWS-AP-South,75.8,0,0
2024-05-07,DC-Mumbai,69.2,0,0
2024-05-07,DC-Delhi,62.0,0,0
2024-05-07,DC-Bangalore,51.4,0,0
2024-05-07,Cloud-AWS-AP-South,76.2,0,0
2024-05-08,DC-Mumbai,67.4,0,0
2024-05-08,DC-Delhi,76.7,0,0
2024-05-08,DC-Bangalore,83.7,0,0
2024-05-08,Cloud-AWS-AP-South,69.3,0,0
2024-05-09,DC-Mumbai,86.0,0,0
2024-05-09,DC-Delhi,52.9,0,0
2024-05-09,DC-Bangalore,83.0,0,1
2024-05-09,Cloud-AWS-AP-South,76.7,0,0
2024-05-10,DC-Mumbai,71.2,0,0
2024-05-10,DC-Delhi,85.6,0,0
2024-05-10,DC-Bangalore,83.3,0,0
2024-05-10,Cloud-AWS-AP-South,60.5,0,0
2024-05-11,DC-Mumbai,91.8,0,0
2024-05-11,DC-Delhi,78.1,0,0
2024-05-11,DC-Bangalore,89.9,0,0
2024-05-11,Cloud-AWS-AP-South,77.1,0,0
2024-05-12,DC-Mumbai,82.4,0,0
2024-05-12,DC-Delhi,87.8,0,0
2024-05-12,DC-Bangalore,89.7,0,0
2024-05-12,Cloud-AWS-AP-South,71.6,0,0
2024-05-13,DC-Mumbai,71.6,0,0
2024-05-13,DC-Delhi,49.2,0,1
2024-05-13,DC-Bangalore,59.3,0,0
2024-05-13,Cloud-AWS-AP-South,73.9,0,0
2024-05-14,DC-Mumbai,74.3,0,0
2024-05-14,DC-Delhi,86.4,0,0
2024-05-14,DC-Bangalore,61.7,0,0
2024-05-14,Cloud-AWS-AP-South,60.7,0,0
2024-05-15,DC-Mumbai,74.6,0,0
2024-05-15,DC-Delhi,52.8,0,0
2024-05-15,DC-Bangalore,46.8,0,0
2024-05-15,Cloud-AWS-AP-South,66.2,0,1
2024-05-16,DC-Mumbai,59.2,0,0
2024-05-16,DC-Delhi,79.6,0,0
2024-05-16,DC-Bangalore,78.8,0,0
2024-05-16,Cloud-AWS-AP-South,83.6,0,0
2024-05-17,DC-Mumbai,64.6,0,1
2024-05-17,DC-Delhi,75.0,0,1
2024-05-17,DC-Bangalore,73.1,0,0
2024-05-17,Cloud-AWS-AP-South,62.5,0,0
2024-05-18,DC-Mumbai,46.9,0,0
2024-05-18,DC-Delhi,77.0,0,0
2024-05-18,DC-Bangalore,75.6,0,0
2024-05-18,Cloud-AWS-AP-South,73.0,0,0
2024-05-19,DC-Mumbai,84.8,0,0
