date,vendor_id,on_time_delivery,defect_rate_pct,lead_time_days,payment_delay_days,reliability_score,order_volume,compliance_score
2024-03-04,Vendor_B,1,35.61,8,6,66.0,14647,66.4
2024-03-04,Vendor_C,1,51.15,12,0,49.4,12188,44.5
2024-03-04,Vendor_D,0,31.64,8,1,73.0,42342,74.9
2024-03-04,Vendor_E,1,4.24,7,0,90.0,40743,94.8
2024-03-04,Vendor_F,1,10.42,6,1,88.0,2420,86.0
2024-03-04,Vendor_G,1,2.54,7,0,95.0,8410,89.3
2024-03-04,Vendor_H,0,62.65,17,4,45.4,24863,43.1
2024-03-04,Vendor_I,1,13.11,7,2,79.0,14260,84.0
2024-03-04,Vendor_J,0,28.15,10,0,66.0,36971,61.8
2024-03-04,Vendor_K,0,23.18,13,2,72.0,2288,67.8
2024-03-04,Vendor_L,0,22.92,10,0,82.0,46529,74.3
2024-03-04,Vendor_M,1,35.54,10,0,61.0,25502,59.7
2024-03-04,Vendor_N,1,36.88,7,0,72.0,5970,66.3
2024-03-04,Vendor_O,1,8.44,10,2,87.0,33255,77.4
2024-03-11,Vendor_A,1,14.54,8,0,87.0,41998,79.1
2024-03-11,Vendor_B,0,36.19,12,1,66.0,44510,65.9
2024-03-11,Vendor_C,1,53.37,15,0,49.1,43377,51.6
2024-03-11,Vendor_D,0,27.01,10,1,73.0,25687,68.0
2024-03-11,Vendor_E,1,9.15,8,0,90.0,12153,94.9
2024-03-11,Vendor_F,1,3.13,9,0,88.0,27017,90.0
2024-03-11,Vendor_G,1,4.2,5,0,95.0,8531,98.4
2024-03-11,Vendor_H,0,54.48,14,4,45.1,27776,42.7
2024-03-11,Vendor_I,1,31.78,9,0,79.0,37722,73.3
2024-03-11,Vendor_J,0,37.48,7,0,66.0,35210,65.1
2024-03-11,Vendor_K,1,37.97,10,0,72.0,10220,75.2
2024-03-11,Vendor_L,1,18.1,7,0,82.0,18485,86.7
2024-03-11,Vendor_M,1,42.88,10,0,61.0,6279,58.6
2024-03-11,Vendor_N,0,30.33,13,0,72.0,19669,72.2
2024-03-11,Vendor_O,1,5.64,9,2,87.0,13872,80.6
2024-03-18,Vendor_A,1,15.65,11,1,87.0,11210,86.3
2024-03-18,Vendor_B,0,37.53,9,0,66.0,42038,57.2
2024-03-18,Vendor_C,1,51.02,14,0,48.8,5003,45.6
2024-03-18,Vendor_D,1,28.13,6,2,73.0,21534,77.7
2024-03-18,Vendor_E,1,5.61,7,0,90.0,20741,93.1
2024-03-18,Vendor_F,0,7.36,4,0,88.0,42520,91.1
2024-03-18,Vendor_G,1,0.0,8,0,95.0,37828,86.3
2024-03-18,Vendor_H,1,62.59,15,0,44.8,28891,38.9
2024-03-18,Vendor_I,1,11.1,9,0,79.0,13636,78.1
2024-03-18,Vendor_J,0,27.5,10,0,66.0,10160,68.9
2024-03-18,Vendor_K,1,26.92,9,0,72.0,36155,72.2
2024-03-18,Vendor_L,1,19.23,8,0,82.0,29916,87.0
2024-03-18,Vendor_M,0,36.36,9,0,61.0,49225,61.0
2024-03-18,Vendor_N,1,35.21,11,3,72.0,13961,76.3
2024-03-18,Vendor_O,1,19.41,7,0,87.0,33154,87.2
2024-03-25,Vendor_A,1,13.38,9,0,87.0,11211,79.0
2024-03-25,Vendor_B,1,34.46,10,1,66.0,17342,65.2
2024-03-25,Vendor_C,0,54.73,14,0,48.5,49240,45.5
2024-03-25,Vendor_D,1,28.13,12,0,73.0,30368,65.4
2024-03-25,Vendor_E,1,5.15,9,0,90.0,45245,91.2
2024-03-25,Vendor_F,1,13.31,9,0,88.0,29861,90.3
2024-03-25,Vendor_G,1,2.2,8,0,95.0,36039,85.9
2024-03-25,Vendor_H,1,53.21,17,3,44.5,8002,49.4
2024-03-25,Vendor_I,1,22.07,12,2,79.0,37019,74.9
2024-03-25,Vendor_J,1,39.01,15,0,66.0,22280,67.2
2024-03-25,Vendor_K,1,25.68,11,0,72.0,41386,74.5
2024-03-25,Vendor_L,1,18.06,6,1,82.0,28341,79.5
2024-03-25,Vendor_M,1,31.64,11,0,61.0,29680,60.6
2024-03-25,Vendor_N,1,25.82,6,0,72.0,28901,66.2
2024-03-25,Vendor_O,1,9.27,9,0,87.0,26433,85.4
2024-04-01,Vendor_A,1,12.92,6,0,87.0,11330,82.4
2024-04-01,Vendor_B,1,25.0,5,0,66.0,14850,59.8
2024-04-01,Vendor_C,0,49.01,16,0,48.3,29179,46.3
2024-04-01,Vendor_D,1,35.25,8,1,73.0,37483,68.9
2024-04-01,Vendor_E,1,8.74,10,0,90.0,44722,80.0
2024-04-01,Vendor_F,1,16.27,5,0,88.0,30685,81.9
2024-04-01,Vendor_G,1,4.58,9,0,95.0,27815,86.4
2024-04-01,Vendor_H,0,54.08,15,0,44.3,31297,34.7
2024-04-01,Vendor_I,1,18.68,5,0,79.0,3024,72.9
2024-04-01,Vendor_J,1,32.69,10,0,66.0,3099,60.1
2024-04-01,Vendor_K,0,29.26,7,5,72.0,4099,68.1
2024-04-01,Vendor_L,1,17.83,11,0,82.0,28114,74.9
2024-04-01,Vendor_M,0,34.83,12,0,61.0,48388,61.1
2024-04-01,Vendor_N,1,22.63,6,2,72.0,13066,62.2
2024-04-01,Vendor_O,1,16.26,8,0,87.0,30292,78.7
2024-04-08,Vendor_A,1,7.43,7,0,87.0,3088,78.0
2024-04-08,Vendor_B,0,30.24,13,0,66.0,29005,65.7
2024-04-08,Vendor_C,1,55.42,17,4,48.0,28667,40.7
2024-04-08,Vendor_D,1,28.99,8,0,73.0,21608,76.8
2024-04-08,Vendor_E,1,0.0,7,0,90.0,33470,86.7
2024-04-08,Vendor_F,1,8.51,7,0,88.0,47505,90.2
2024-04-08,Vendor_G,1,1.82,10,0,95.0,19579,86.8
2024-04-08,Vendor_H,1,60.51,15,2,44.0,33334,35.8
2024-04-08,Vendor_I,1,16.52,10,0,79.0,43333,76.2
2024-04-08,Vendor_J,1,28.89,10,0,66.0,13737,65.5
2024-04-08,Vendor_K,0,39.62,10,4,72.0,44747,74.4
2024-04-08,Vendor_L,1,23.66,8,0,82.0,49347,83.6
2024-04-08,Vendor_M,1,30.3,9,2,61.0,36819,53.0
2024-04-08,Vendor_N,1,26.49,10,0,72.0,44975,74.5
2024-04-08,Vendor_O,1,15.27,10,0,87.0,25744,84.7
2024-04-15,Vendor_A,1,14.86,10,2,87.0,31887,81.1
2024-04-15,Vendor_B,1,31.48,12,4,66.0,25766,66.4
2024-04-15,Vendor_C,0,54.32,17,0,47.7,8934,50.8
2024-04-15,Vendor_D,1,28.97,8,0,73.0,20367,72.3
2024-04-15,Vendor_E,1,12.17,6,0,90.0,9630,93.4
2024-04-15,Vendor_F,1,15.8,12,0,88.0,12898,83.1
2024-04-15,Vendor_G,1,14.88,6,0,95.0,35617,95.3
2024-04-15,Vendor_H,0,62.12,19,0,43.7,22544,39.8
2024-04-15,Vendor_I,1,19.87,8,0,79.0,35821,81.1
2024-04-15,Vendor_J,0,40.59,10,0,66.0,6067,62.2
2024-04-15,Vendor_K,0,24.83,6,0,72.0,13815,73.8
2024-04-15,Vendor_L,1,21.36,7,0,82.0,24646,76.9
2024-04-15,Vendor_M,1,37.63,11,2,61.0,45538,64.3
2024-04-15,Vendor_N,1,32.04,14,0,72.0,1442,75.2
2024-04-15,Vendor_O,0,16.68,4,0,87.0,12832,90.6
2024-04-22,Vendor_A,1,11.65,6,0,87.0,2143,78.2
2024-04-22,Vendor_B,0,33.46,9,8,66.0,48251,61.8
2024-04-22,Vendor_C,1,55.16,18,7,47.4,10371,41.6
2024-04-22,Vendor_D,1,23.8,9,0,73.0,14486,72.9
2024-04-22,Vendor_E,1,9.19,5,0,90.0,39557,94.1
2024-04-22,Vendor_F,1,13.8,8,0,88.0,44049,85.0
2024-04-22,Vendor_G,1,4.7,9,0,95.0,37074,85.4
2024-04-22,Vendor_H,0,63.56,12,3,43.4,10325,45.2
2024-04-22,Vendor_I,1,23.44,7,0,79.0,38028,70.9
2024-04-22,Vendor_J,1,36.32,12,0,66.0,15856,66.0
2024-04-22,Vendor_K,0,31.14,8,3,72.0,17301,76.5
2024-04-22,Vendor_L,1,8.8,13,0,82.0,40901,73.2
2024-04-22,Vendor_M,0,46.15,11,0,61.0,11307,57.4
2024-04-22,Vendor_N,1,29.33,11,0,72.0,24900,66.3
2024-04-22,Vendor_O,1,16.51,8,0,87.0,25968,84.4
2024-04-29,Vendor_A,0,13.05,6,0,87.0,29076,78.6
2024-04-29,Vendor_B,0,37.36,11,2,66.0,17857,63.2
2024-04-29,Vendor_C,0,55.03,16,7,47.1,23260,51.7
2024-04-29,Vendor_D,1,17.62,4,4,73.0,37589,72.6
2024-04-29,Vendor_E,0,3.29,5,0,90.0,12358,85.6
2024-04-29,Vendor_F,0,3.73,7,0,88.0,19707,78.8
2024-04-29,Vendor_G,1,3.83,7,0,95.0,32485,95.3
2024-04-29,Vendor_H,0,54.92,16,5,43.1,30196,37.6
2024-04-29,Vendor_I,0,29.01,8,3,79.0,31749,74.5
2024-04-29,Vendor_J,0,38.38,8,0,66.0,25581,66.8
2024-04-29,Vendor_K,1,25.11,12,0,72.0,26879,65.0
2024-04-29,Vendor_L,1,8.54,8,0,82.0,1713,86.6
2024-04-29,Vendor_M,1,33.73,10,0,61.0,5472,51.3
2024-04-29,Vendor_N,1,33.12,11,0,72.0,6972,65.3
2024-04-29,Vendor_O,1,11.14,8,0,87.0,41980,77.8
2024-05-06,Vendor_A,1,11.65,4,0,87.0,42812,88.9
2024-05-06,Vendor_B,1,31.99,4,2,66.0,11736,58.5
2024-05-06,Vendor_C,0,46.31,16,3,46.8,28202,40.3
2024-05-06,Vendor_D,1,24.28,11,2,73.0,32589,73.5
2024-05-06,Vendor_E,1,8.46,6,1,90.0,49062,91.4
2024-05-06,Vendor_F,1,13.16,10,0,88.0,23948,80.3
2024-05-06,Vendor_G,1,5.49,4,0,95.0,32220,96.7
2024-05-06,Vendor_H,1,60.75,19,0,42.8,29527,36.9
2024-05-06,Vendor_I,1,18.37,8,0,79.0,14003,77.5
2024-05-06,Vendor_J,1,38.89,10,0,66.0,5325,70.0
2024-05-06,Vendor_K,1,31.1,9,0,72.0,48125,74.3
2024-05-06,Vendor_L,1,17.68,6,0,82.0,32574,77.1
2024-05-06,Vendor_M,0,43.98,9,0,61.0,49060,62.2
2024-05-06,Vendor_N,1,28.25,8,0,72.0,14772,72.2
2024-05-06,Vendor_O,1,14.6,3,0,87.0,4100,82.6
2024-05-13,Vendor_A,1,7.15,8,0,87.0,1187,85.0
2024-05-13,Vendor_B,1,31.24,13,1,66.0,47061,59.9
2024-05-13,Vendor_C,1,57.99,15,3,46.5,21160,41.1
2024-05-13,Vendor_D,1,29.09,10,2,73.0,3494,71.4
2024-05-13,Vendor_E,1,10.78,12,0,90.0,16984,90.0
2024-05-13,Vendor_F,0,6.3,7,0,88.0,37016,89.8
2024-05-13,Vendor_G,1,5.22,8,0,95.0,43046,94.1
2024-05-13,Vendor_H,1,50.67,19,0,42.5,24108,33.2
2024-05-13,Vendor_I,1,18.02,7,1,79.0,42753,78.1
2024-05-13,Vendor_J,1,32.66,9,0,66.0,11855,65.4
2024-05-13,Vendor_K,1,19.03,8,0,72.0,29542,72.4
2024-05-13,Vendor_L,1,16.65,9,0,82.0,23521,85.9
2024-05-13,Vendor_M,1,45.28,13,0,61.0,24052,59.5
2024-05-13,Vendor_N,1,28.1,9,0,72.0,43912,66.3
2024-05-13,Vendor_O,1,6.91,7,0,87.0,41471,87.1
2024-05-20,Vendor_A,1,15.56,8,0,87.0,28109,80.2
2024-05-20,Vendor_B,1,36.59,10,2,66.0,16176,70.4
2024-05-20,Vendor_C,1,59.09,14,6,46.2,22044,46.1
2024-05-20,Vendor_D,1,22.55,7,1,73.0,3267,72.7
2024-05-20,Vendor_E,1,8.16,8,1,90.0,28107,86.5
2024-05-20,Vendor_F,1,13.97,8,0,88.0,2774,90.6
2024-05-20,Vendor_G,1,0.0,7,0,95.0,45434,89.6
2024-05-20,Vendor_H,1,56.14,17,8,42.2,37483,35.2
2024-05-20,Vendor_I,1,28.01,9,0,79.0,19378,80.2
2024-05-20,Vendor_J,0,26.41,9,0,66.0,15192,56.0
2024-05-20,Vendor_K,1,23.74,10,5,72.0,12128,67.0
2024-05-20,Vendor_L,1,25.59,9,1,82.0,49660,76.3
2024-05-20,Vendor_M,1,35.36,14,0,61.0,49629,63.6
2024-05-20,Vendor_N,0,32.56,10,0,72.0,5788,73.6
2024-05-20,Vendor_O,1,11.96,5,0,87.0,15247,84.3
2024-05-27,Vendor_A,0,5.04,9,1,87.0,13175,90.9
2024-05-27,Vendor_B,0,23.19,14,0,66.0,9301,66.0
2024-05-27,Vendor_C,0,55.49,12,7,46.0,36562,38.0
2024-05-27,Vendor_D,1,28.0,11,3,73.0,42048,76.6
2024-05-27,Vendor_E,1,16.67,6,0,90.0,45885,88.3
2024-05-27,Vendor_F,1,8.94,9,0,88.0,20989,81.6
2024-05-27,Vendor_G,1,10.35,9,0,95.0,16924,87.6
2024-05-27,Vendor_H,0,64.79,18,0,42.0,6999,43.5
2024-05-27,Vendor_I,1,22.75,8,1,79.0,10234,70.2
2024-05-27,Vendor_J,1,32.14,11,0,66.0,7084,64.6
2024-05-27,Vendor_K,0,25.84,10,7,72.0,2499,71.5
2024-05-27,Vendor_L,1,14.57,8,0,82.0,24774,74.8
2024-05-27,Vendor_M,0,36.18,13,2,61.0,37676,60.3
2024-05-27,Vendor_N,1,27.97,11,2,72.0,10681,69.9
2024-05-27,Vendor_O,1,12.19,4,1,87.0,32415,84.6
2024-06-03,Vendor_A,1,13.85,8,0,87.0,23180,90.9
2024-06-03,Vendor_B,1,37.72,11,0,66.0,27147,64.3
2024-06-03,Vendor_C,0,48.2,17,3,45.7,11212,49.0
2024-06-03,Vendor_D,1,28.28,4,0,73.0,41961,65.4
2024-06-03,Vendor_E,1,8.79,6,0,90.0,3361,87.7
2024-06-03,Vendor_F,1,15.57,8,1,88.0,42210,82.8
2024-06-03,Vendor_G,1,0.0,6,0,95.0,38095,97.1
2024-06-03,Vendor_H,0,55.22,18,0,41.7,11634,42.0
2024-06-03,Vendor_I,1,27.49,6,4,79.0,1557,75.9
2024-06-03,Vendor_J,1,44.15,10,3,66.0,27749,62.6
2024-06-03,Vendor_K,1,26.0,11,0,72.0,23362,67.7
2024-06-03,Vendor_L,1,11.57,1,0,82.0,29978,82.7
2024-06-03,Vendor_M,1,40.4,14,0,61.0,11675,54.2
2024-06-03,Vendor_N,1,33.01,8,0,72.0,14710,70.2
2024-06-03,Vendor_O,0,18.27,3,0,87.0,43925,84.1
2024-06-10,Vendor_A,0,11.0,10,0,87.0,37887,84.1
2024-06-10,Vendor_B,0,36.58,12,0,66.0,18942,57.3
2024-06-10,Vendor_C,0,53.92,14,5,45.4,44458,42.0
2024-06-10,Vendor_D,0,30.38,9,0,73.0,42295,75.6
2024-06-10,Vendor_E,1,15.19,7,0,90.0,33399,80.1
2024-06-10,Vendor_F,1,4.34,8,0,88.0,29134,79.6
2024-06-10,Vendor_G,1,14.3,5,0,95.0,3387,89.3
2024-06-10,Vendor_H,0,59.41,15,0,41.4,36761,35.8
2024-06-10,Vendor_I,1,21.95,7,0,79.0,8441,70.0
2024-06-10,Vendor_J,1,33.39,11,5,66.0,21449,60.1
2024-06-10,Vendor_K,0,25.27,8,0,72.0,18479,62.4
2024-06-10,Vendor_L,1,17.02,9,0,82.0,47240,73.3
2024-06-10,Vendor_M,0,41.08,11,0,61.0,33626,55.2
2024-06-10,Vendor_N,1,29.56,9,0,72.0,6947,70.9
2024-06-10,Vendor_O,1,10.17,6,0,87.0,26331,77.4
2024-06-17,Vendor_A,0,11.85,11,1,87.0,49559,77.9
2024-06-17,Vendor_B,1,36.73,10,0,66.0,43648,61.3
2024-06-17,Vendor_C,1,50.87,14,0,45.1,8348,40.9
2024-06-17,Vendor_D,1,26.83,10,0,73.0,49589,77.0
2024-06-17,Vendor_E,1,15.8,7,0,90.0,49213,87.1
2024-06-17,Vendor_F,1,13.72,8,1,88.0,42163,84.2
2024-06-17,Vendor_G,1,9.02,4,0,95.0,36001,96.5
2024-06-17,Vendor_H,0,58.83,21,0,41.1,2061,39.4
2024-06-17,Vendor_I,1,16.09,9,1,79.0,24453,69.6
2024-06-17,Vendor_J,0,33.63,10,3,66.0,9888,70.9
2024-06-17,Vendor_K,1,23.73,9,0,72.0,30256,72.7
2024-06-17,Vendor_L,0,23.47,9,0,82.0,34004,77.4
2024-06-17,Vendor_M,1,34.18,15,4,61.0,25743,63.1
2024-06-17,Vendor_N,1,32.21,9,4,72.0,46930,65.0
2024-06-17,Vendor_O,1,7.48,9,0,87.0,23415,85.1
2024-06-24,Vendor_A,1,11.76,9,0,87.0,38852,80.2
2024-06-24,Vendor_B,0,31.83,9,0,66.0,8722,62.6
2024-06-24,Vendor_C,1,59.01,13,10,44.8,3116,43.7
2024-06-24,Vendor_D,1,25.56,12,0,73.0,41906,77.7
2024-06-24,Vendor_E,1,13.66,9,1,90.0,20791,92.3
2024-06-24,Vendor_F,1,4.36,6,0,88.0,1725,78.8
2024-06-24,Vendor_G,1,5.74,7,0,95.0,41868,99.3
2024-06-24,Vendor_H,1,66.95,22,0,40.8,18976,43.1
2024-06-24,Vendor_I,1,23.27,8,2,79.0,4701,71.4
2024-06-24,Vendor_J,1,38.15,8,0,66.0,42074,66.2
2024-06-24,Vendor_K,1,22.95,15,1,72.0,37794,71.9
2024-06-24,Vendor_L,1,15.02,7,1,82.0,17138,73.3
2024-06-24,Vendor_M,1,43.52,13,0,61.0,16159,63.1
2024-06-24,Vendor_N,1,29.53,9,0,72.0,19067,67.8
2024-06-24,Vendor_O,1,8.37,8,0,87.0,15073,78.4
2024-07-01,Vendor_A,1,15.77,9,1,87.0,34312,89.7
2024-07-01,Vendor_B,1,30.12,11,2,66.0,36950,65.9
2024-07-01,Vendor_C,0,53.92,15,0,44.5,5823,46.2
2024-07-01,Vendor_D,0,37.54,9,1,73.0,36115,63.0
2024-07-01,Vendor_E,1,8.68,6,0,90.0,37159,89.0
2024-07-01,Vendor_F,1,17.5,9,0,88.0,18135,83.3
